origin_index,origin,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank
4,2026-02-16,SES,147.0,115.0,3.9189942402389595,2.0506191046764255,0.24347826086956523,2.1280732536092284,1.6452730284512518,1.0000000004167642,0.9411862152103996,0.08634942007278246,2659.0,4.0
4,2026-02-16,Zero,147.0,115.0,3.2410939844791393,1.375,0.43478260869565216,2.2610544217687076,1.0,1.0,1.0,-1.0,2659.0,1.0
5,2026-04-13,ADIDA2,147.0,125.0,3.6479827330989036,1.6497291910607437,0.248,2.517261613908205,1.6200408517914218,1.0000015828077085,0.9630122504736661,-0.1581020247694316,3074.0,5.0
5,2026-04-13,MA4_proxy,147.0,125.0,3.3446035090659634,1.5896739130434783,0.352,2.394345238095238,1.4792729558200257,1.0,0.9159889394925179,-0.1701366297983084,3074.0,3.0
5,2026-04-13,Naive,147.0,125.0,3.1599827664981595,1.475,0.4,2.5799319727891157,1.4047681253705961,1.0,0.9869876382563435,0.05920624593363696,3074.0,2.0
5,2026-04-13,SES,147.0,125.0,3.3888724816005884,1.5400395255876584,0.328,2.5819593940683006,1.42879575970964,1.01703357426329,0.9877632555056348,0.01807354398273578,3074.0,4.0
5,2026-04-13,Zero,147.0,125.0,3.0094855463447434,1.3828125,0.432,2.6139455782312924,1.0,1.0,1.0,-1.0,3074.0,1.0
6,2026-06-08,ADIDA2,147.0,131.0,2.504394604034499,1.4766230559292302,0.35877862595419846,2.1507481079704256,0.9888572522714135,0.9999999676819775,0.8006583649804433,-0.13588378283698305,3159.0,2.0
6,2026-06-08,MA4_proxy,147.0,131.0,2.495952600272831,1.4225806451612903,0.366412213740458,2.084608843537415,1.0896616645415076,1.0,0.7760367204811649,-0.13770180436847104,3159.0,1.0
6,2026-06-08,Naive,147.0,131.0,2.965780605116727,1.7426931106471817,0.3511450381679389,2.364795918367347,1.3440201596224823,1.0,0.8803418803418803,-0.11364355808800253,3159.0,5.0
6,2026-06-08,SES,147.0,131.0,2.8986581345770066,1.5707453308957715,0.3511450381679389,2.2821315475578237,1.240008478861002,1.0,0.8495684393567587,-0.05253643870870258,3159.0,4.0
6,2026-06-08,Zero,147.0,131.0,2.5676962662352842,1.5662983425414365,0.3511450381679389,2.686224489795918,1.0,1.0,1.0,-1.0,3159.0,3.0
