feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,pareto
ADI+CV2+std_sales+nonzero_mean,4,3,130,True,,0.28976577042320195,102.18172086456445,27,61,1:27;2:42;3:61,0.7561149611345674,0.7993123708256342,0.5015419057999826,0.9373059392748184,"{""1"": 0.9191836734693878, ""2"": 0.8571428571428571, ""3"": 0.6923076923076923}",False
ADI+CV2+std_sales+nonzero_mean,4,4,130,True,,0.27114598992468963,89.32048598571211,26,42,1:27;2:42;3:26;4:35,0.6380307775162102,0.6337149584958355,0.3979837286077926,0.8841814291143878,"{""1"": 0.8157894736842105, ""2"": 0.5263157894736842, ""3"": 0.7037037037037037, ""4"": 0.6988372093023256}",False
ADI+CV2+std_sales+nonzero_mean,4,5,130,True,,0.2803964008999647,85.76095171195364,21,35,1:21;2:27;3:21;4:26;5:35,0.6686243950599084,0.6648695308619565,0.4732938248825456,0.8683443688990271,"{""1"": 0.6545092838196287, ""2"": 0.75, ""3"": 0.7083333333333334, ""4"": 0.8064516129032258, ""5"": 0.7777777777777778}",False
ADI+CV2+std_sales+nonzero_mean,4,6,130,True,,0.27063415455315926,79.65820969611927,12,35,1:21;2:27;3:14;4:21;5:12;6:35,0.6684512549268155,0.6645041248048645,0.5284874381974369,0.8168472037504126,"{""1"": 0.631578947368421, ""2"": 0.7666666666666667, ""3"": 0.72, ""4"": 0.9, ""5"": 0.8260869565217391, ""6"": 0.5192592592592593}",False
ADI+CV2+std_sales+acf1,4,2,130,True,,0.3124277857255684,76.50200268451688,59,71,1:59;2:71,0.677743300431093,0.6807394573286071,0.44773065148770924,0.9615272496601621,"{""1"": 0.8571428571428571, ""2"": 0.82}",False
ADI+CV2+std_sales+acf1,4,3,130,True,,0.25336337748311916,62.25699750648057,33,59,1:59;2:38;3:33,0.6164628967329543,0.6370668074284518,0.3614867606920861,0.8504454202849883,"{""1"": 0.8218253968253968, ""2"": 0.7027027027027027, ""3"": 0.6428571428571429}",False
ADI+CV2+std_sales+acf1,4,4,130,True,,0.22780050835618695,56.908305234791236,20,39,1:20;2:39;3:38;4:33,0.5452397995961924,0.5335015304413531,0.3354112461304389,0.7717454865155149,"{""1"": 0.4, ""2"": 0.7222222222222222, ""3"": 0.6711711711711712, ""4"": 0.6296296296296297}",False
ADI+CV2+std_sales+acf1,4,5,130,True,,0.24346659260865425,54.882926104358916,15,38,1:24;2:20;3:15;4:38;5:33,0.5746192744389886,0.5534677226821906,0.4146086146512684,0.7738560828176232,"{""1"": 0.5806451612903226, ""2"": 0.38585607940446653, ""3"": 0.6785714285714286, ""4"": 0.6818181818181818, ""5"": 0.8}",False
ADI+CV2+std_sales+acf1,4,6,130,True,,0.22495083506792868,54.12148490895208,15,33,1:24;2:20;3:15;4:18;5:33;6:20,0.5738651552159206,0.5673466649810464,0.45107441790663183,0.7186960124631796,"{""1"": 0.5757575757575758, ""2"": 0.4827586206896552, ""3"": 0.7272727272727273, ""4"": 0.7142857142857143, ""5"": 0.8125, ""6"": 0.46291208791208793}",False
ADI+CV2+nonzero_mean+acf1,4,2,130,True,,0.31675124300088164,76.73529039464684,63,67,1:63;2:67,0.5491084413165992,0.5018942655384551,0.34959010718152866,0.8151736080611361,"{""1"": 0.7596296296296297, ""2"": 0.7611940298507462}",False
ADI+CV2+nonzero_mean+acf1,4,3,130,True,,0.2661228592300151,60.19172852272342,21,63,1:63;2:46;3:21,0.557965001190083,0.5560435997869726,0.32434340764610065,0.8164401243490437,"{""1"": 0.74, ""2"": 0.7674418604651163, ""3"": 0.4759725400457666}",False
ADI+CV2+nonzero_mean+acf1,4,4,130,True,,0.2270678207969875,53.02295913328601,21,46,1:29;2:34;3:46;4:21,0.5244769197214696,0.5101282720401981,0.3623325321537364,0.7129384845519388,"{""1"": 0.46875, ""2"": 0.7567567567567568, ""3"": 0.52, ""4"": 0.5428571428571428}",False
ADI+CV2+nonzero_mean+acf1,4,5,130,True,,0.22557503235077633,49.179914538719906,9,46,1:29;2:25;3:9;4:46;5:21,0.49622654231870855,0.4685216585714662,0.36195004598898656,0.6805432007555962,"{""1"": 0.5865384615384616, ""2"": 0.5714285714285714, ""3"": 0.5345238095238095, ""4"": 0.4127789046653144, ""5"": 0.6666666666666666}",False
ADI+CV2+nonzero_mean+acf1,4,6,130,True,,0.22473863294001706,49.15251592193824,9,36,1:29;2:25;3:9;4:36;5:10;6:21,0.4914896339048301,0.46845919091300714,0.35159035859206006,0.6685907517536455,"{""1"": 0.5303308823529411, ""2"": 0.5806451612903226, ""3"": 0.5590277777777778, ""4"": 0.4791304347826087, ""5"": 0.6923076923076923, ""6"": 0.5}",False
ADI+CV2+mean_sales+std_sales+acf1,5,2,130,True,,0.3697875613146125,107.1896641016558,56,74,1:74;2:56,0.5762355193594498,0.5873364471572284,0.2819512064327439,0.8868566703320643,"{""1"": 0.7966101694915254, ""2"": 0.7838235294117647}",False
ADI+CV2+mean_sales+std_sales+acf1,5,3,130,True,,0.2430859141018904,79.33503579471463,35,56,1:39;2:35;3:56,0.5392239280797153,0.4820352280403879,0.37611442036722376,0.7856198790465462,"{""1"": 0.6538461538461539, ""2"": 0.7360681114551084, ""3"": 0.38731884057971017}",False
ADI+CV2+mean_sales+std_sales+acf1,5,4,130,True,,0.21694282885223237,68.28612145822396,22,39,1:39;2:35;3:34;4:22,0.5027754503064591,0.49627426800957064,0.3628727622922449,0.643647890784051,"{""1"": 0.7272727272727273, ""2"": 0.48863049095607236, ""3"": 0.4864864864864865, ""4"": 0.5483870967741935}",False
ADI+CV2+mean_sales+std_sales+acf1,5,5,130,True,,0.2395464901326467,66.47984298417954,9,35,1:30;2:35;3:9;4:34;5:22,0.5599990234688584,0.5480543757354321,0.43383304738661843,0.6966251603324578,"{""1"": 0.4821200510855683, ""2"": 0.6666666666666666, ""3"": 0.47987117552334946, ""4"": 0.896551724137931, ""5"": 0.5419580419580419}",False
ADI+CV2+mean_sales+std_sales+acf1,5,6,130,True,,0.22222266093140114,62.27116929306526,9,35,1:30;2:35;3:9;4:15;5:22;6:19,0.5833876600496396,0.5805070165532151,0.44468157154305465,0.7212464125233223,"{""1"": 0.47685185185185186, ""2"": 0.7777777777777778, ""3"": 0.5882352941176471, ""4"": 0.896551724137931, ""5"": 0.6363636363636364, ""6"": 0.4090909090909091}",False
ADI+CV2+std_sales+nonzero_mean+acf1,5,2,130,True,,0.3419014514077047,83.48073412049203,41,89,1:41;2:89,0.48458411418101116,0.4747146932952924,0.11907820530208008,0.8492672235921859,"{""1"": 0.7739906103286385, ""2"": 0.6666666666666666}",False
ADI+CV2+std_sales+nonzero_mean+acf1,5,3,130,True,,0.23563048361336647,65.46719966670402,17,72,1:41;2:72;3:17,0.3784756859157171,0.34452424863000486,0.21207317053635422,0.5897448456703653,"{""1"": 0.4482758620689655, ""2"": 0.7228132387706856, ""3"": 0.3783783783783784}",False
ADI+CV2+std_sales+nonzero_mean+acf1,5,4,130,True,,0.24667153362803682,60.390248740303065,17,41,1:41;2:37;3:35;4:17,0.4402883687199502,0.4193603828310847,0.2614851343617914,0.6474895575421714,"{""1"": 0.6842105263157895, ""2"": 0.38348416289592757, ""3"": 0.4, ""4"": 0.5313725490196078}",False
ADI+CV2+std_sales+nonzero_mean+acf1,5,5,130,True,,0.2388339253986726,57.47521049100097,15,37,1:26;2:37;3:15;4:35;5:17,0.46622466880066815,0.4517404009393782,0.3336718887597178,0.6048956729227039,"{""1"": 0.4775, ""2"": 0.5543735224586288, ""3"": 0.4482758620689655, ""4"": 0.5833333333333334, ""5"": 0.732051282051282}",False
ADI+CV2+std_sales+nonzero_mean+acf1,5,6,130,True,,0.2221782955774244,56.762729543431824,15,35,1:26;2:15;3:22;4:15;5:35;6:17,0.5413822110320332,0.5356510896302902,0.418896938584561,0.6773526295372332,"{""1"": 0.5454545454545454, ""2"": 0.6, ""3"": 0.625, ""4"": 0.5156402737047898, ""5"": 0.7593103448275862, ""6"": 0.5313725490196078}",False
