sku,model,winning_origins,mean_winning_loss
WSJZS0002,MA4_proxy,1,6.875
WSJZS0002,Zero,1,0.0
WSJZS0004,MA4_proxy,1,14.25
WSJZS0004,Zero,1,0.0
XFTW0001,MA4_proxy,2,1.4375
XGX9992,MA4_proxy,2,0.0
XGX9993,MA4_proxy,2,0.0
XGX9994,MA4_proxy,2,0.0
XGX9995,MA4_proxy,2,0.0
XGX99990,MA4_proxy,2,0.0
XGX99991,MA4_proxy,2,0.0
XGX99992,MA4_proxy,2,0.0
XGX99993,MA4_proxy,2,0.0
XHP0001,MA4_proxy,3,26.083333333333332
XHP0001,Naive,1,23.75
XHP0001,Zero,1,0.625
XHZXCZP0001,ADIDA2,2,1.7500000599065781
XHZXCZP0001,Naive,2,2.875
XHZXCZP0001,Zero,1,1.125
XHZXCZP0002,Naive,3,1.4166666666666667
XHZXCZP0002,MA4_proxy,1,2.0
XHZXCZP0002,SES,1,1.8747722266318363
XMJ0001,MA4_proxy,2,1.4375
XMJ0004,MA4_proxy,2,1.875
XMSH0001,ADIDA2,1,3.2500000000000004
XMSH0001,MA4_proxy,1,5.625
XXGP0002,MA4_proxy,1,2.0
XXGP0002,Zero,1,4.375
XYJ0001,MA4_proxy,1,2.75
XYJ0001,Zero,1,1.5
XYMGPD0001,ADIDA2,1,1.9999998951634885
XYMGPD0001,Naive,1,0.125
XYMGPD0002,MA4_proxy,1,1.5
XYMGPD0002,Zero,1,1.0
XYMLRY00001,SES,1,1.2157777480993663
XYMLRY00001,Zero,1,0.5
XYMZD0017,MA4_proxy,2,0.0
XYMZG0016,MA4_proxy,2,0.0
YBB0001,Zero,2,1.0625
YDBZ001,MA4_proxy,2,2.15625
YDBZ001,Zero,2,0.125
YDBZ001,Naive,1,0.875
YDBZ002,ADIDA2,2,2.1725310352198393
YDBZ002,MA4_proxy,2,0.5625
YDBZ002,Zero,1,0.375
YDBZLV0001AMDE,MA4_proxy,2,0.0
YDBZWV0001AMDE,MA4_proxy,2,0.0
YEC0009,ADIDA2,1,1.8749999812791938
YEC0009,MA4_proxy,1,2.25
YJL0002,MA4_proxy,1,0.375
YJL0002,Naive,1,0.0
YJLZHMV000AMDE,MA4_proxy,2,0.5
YJLZHMV000AMDE,Naive,1,1.0
YJLZHMV000AMDE,SES,1,0.8878038482426713
YJLZHMV000AMDE,Zero,1,0.125
YJX0022,MA4_proxy,2,0.0
