origin_index,cluster,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume
1,2,MA4_proxy,60.0,60.0,4.318224268541202,1.4839895635673626,0.4166666666666667,0.6833333333333333,1.7684838923495547,1.0333333333333332,1.0123456790123457,0.09876543209876543,324.0
1,2,Naive,60.0,60.0,4.161490851318526,0.255952380952381,0.5833333333333334,0.6458333333333334,1.6019639321252224,1.0,0.9567901234567902,0.06172839506172839,324.0
1,2,SES,60.0,60.0,4.194398213017167,1.5002099109953346,0.38333333333333336,0.679797898329097,1.5995942321697842,1.0879446949575768,1.007107997524588,0.03410814700946583,324.0
1,2,Zero,60.0,60.0,3.887182414881872,0.17338709677419356,0.6166666666666667,0.675,1.0,1.0,1.0,-1.0,324.0
2,0,ADIDA2,49.0,43.0,12.980575887222043,0.4761511168651568,0.6511627906976745,0.46649885036475985,1.2571396085187907,1.0,1.1016117430300352,-0.7577164031457965,166.0
2,0,MA4_proxy,49.0,43.0,12.243342408022642,0.0,0.6744186046511628,0.4362244897959184,1.1447718253968255,1.0,1.0301204819277108,-0.7228915662650602,166.0
2,0,Naive,49.0,43.0,11.914784822197612,0.0,0.6976744186046512,0.4336734693877551,1.091765873015873,1.0,1.0240963855421688,-0.5662650602409639,166.0
2,0,SES,49.0,43.0,12.195230699386613,0.43776738784288083,0.6744186046511628,0.4522455804779739,1.2195898733751984,1.0,1.0679534189600348,-0.5286600757605319,166.0
2,0,Zero,49.0,43.0,12.333777070259629,0.0,0.6976744186046512,0.42346938775510207,1.0,1.0,1.0,-1.0,166.0
2,1,ADIDA2,82.0,82.0,3.3428511166868407,1.6131746965285751,0.3902439024390244,3.825760408618636,2.859748372441364,1.0672160858791924,1.0156612011549273,0.01539538844198724,2471.0
2,1,MA4_proxy,82.0,82.0,3.2259150176584006,1.371814954051796,0.43902439024390244,3.6623475609756095,2.7742743743737566,1.0,0.9722784297855119,0.028733306353702956,2471.0
2,1,Naive,82.0,82.0,2.972790294716934,0.8317426230812057,0.5365853658536586,3.260670731707317,2.7999751422198424,1.0,0.8656414407122622,0.04896802913800081,2471.0
2,1,SES,82.0,82.0,3.091805670576146,1.1680346557227543,0.47560975609756095,3.552809440133123,2.8193422625875093,0.9999999993416858,0.9431982973400764,-0.04015012789846937,2471.0
2,1,Zero,82.0,82.0,2.0738644842909997,0.48623002283105027,0.5609756097560976,3.7667682926829267,1.0,1.0,1.0,-1.0,2471.0
2,2,ADIDA2,64.0,64.0,4.002125762393622,1.2309101886745129,0.46875,0.7218507778501244,1.8626703988761768,1.1729930392773382,1.785447334585815,0.7504902024949165,207.0
2,2,MA4_proxy,64.0,64.0,3.920979226739137,0.8159722222222223,0.515625,0.6953125,1.6880171036421039,1.0,1.7198067632850242,0.7004830917874396,207.0
2,2,Naive,64.0,64.0,3.193749851477869,0.0,0.65625,0.548828125,1.5531079156079155,1.0,1.357487922705314,0.3526570048309179,207.0
2,2,SES,64.0,64.0,3.3794246093281646,0.8939759683828779,0.515625,0.5988464473479163,1.7742396179303794,1.027821553604272,1.4812047393339765,0.4667311647164526,207.0
2,2,Zero,64.0,64.0,2.5879267244838404,0.0,0.71875,0.404296875,1.0,1.0,1.0,-1.0,207.0
3,0,ADIDA2,9.0,8.0,16.528575072955377,15.517584616462326,0.125,0.6537695843478786,1.8999112150477309,1.1427595700103375,1.8828564029218904,0.7109208052013989,25.0
3,0,MA4_proxy,9.0,8.0,14.838950892857143,11.15625,0.125,0.5833333333333334,1.3857142857142857,1.0,1.68,0.44,25.0
3,0,Naive,9.0,8.0,14.67578125,3.71875,0.25,0.625,1.2857142857142858,1.0,1.8,0.6,25.0
3,0,SES,9.0,8.0,17.11404072539176,9.807613113529403,0.125,0.7172400505196435,1.6475914454245941,1.1353909358263017,2.0656513454965735,0.9974906112251252,25.0
3,0,Zero,9.0,8.0,8.30078125,3.71875,0.25,0.3472222222222222,1.0,1.0,1.0,-1.0,25.0
3,1,ADIDA2,52.0,52.0,4.071916410225998,2.523138139035163,0.19230769230769232,5.040234948288183,8.802629470031683,0.9801941673706316,1.1047090297617936,0.2644797439860422,1898.0
3,1,MA4_proxy,52.0,52.0,4.085478077028485,2.4826299536798766,0.17307692307692307,5.066105769230769,10.092461199258892,0.9846938775510203,1.1103793466807166,0.2992623814541623,1898.0
3,1,Naive,52.0,52.0,4.264425212999338,2.4725093984962405,0.21153846153846154,4.269230769230769,2.3787357848252086,1.0,0.9357218124341412,0.12118018967334036,1898.0
3,1,SES,52.0,52.0,4.0386530604880395,2.286385860342747,0.21153846153846154,4.521388672838468,4.759228406736354,0.9946488206703941,0.9909892981563765,0.2561085801755,1898.0
3,1,Zero,52.0,52.0,3.4075993814499927,2.2879293381037566,0.2692307692307692,4.5625,1.0,1.0,1.0,-1.0,1898.0
3,2,ADIDA2,39.0,39.0,5.238861082413933,3.477272727272727,0.05128205128205128,0.887296932970136,1.3372622240064302,1.0064122606396397,1.1534860128611768,-0.35126348248525247,240.0
3,2,MA4_proxy,39.0,39.0,5.163427353167195,3.7317073170731705,0.15384615384615385,0.875,1.3773916621572873,1.0,1.1375,-0.4,240.0
