feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,sensitivity_pareto,confirmatory_eligible,confirmatory_pareto
ADI+CV2+median_sales,3,2,197,True,,0.5732746437284927,166.0937232554933,28,169,1:28;2:169,1.0,1.0,1.0,1.0,"{""1"": 1.0, ""2"": 1.0}",True,False,False
ADI+CV2+median_sales,3,3,197,True,,0.44109991121608955,210.2543393042832,28,107,1:28;2:107;3:62,0.6655293614902182,0.6890558481922103,0.4496782561266179,0.8555932206461416,"{""1"": 0.8306451612903226, ""2"": 1.0, ""3"": 0.7399355877616747}",False,False,False
ADI+CV2+median_sales,3,4,197,True,,0.4166907732861072,213.44724430932047,23,84,1:28;2:84;3:23;4:62,0.5963786802979603,0.5801931030155474,0.3691360406277347,0.8558171551818454,"{""1"": 0.7303030303030302, ""2"": 0.5128205128205128, ""3"": 0.6521739130434783, ""4"": 1.0}",False,False,False
ADI+CV2+median_sales,3,5,197,True,,0.4147504317574843,221.65214466258877,20,84,1:28;2:84;3:23;4:42;5:20,0.5622651097756646,0.5344304527656762,0.389651947447362,0.8008398458545694,"{""1"": 0.625, ""2"": 0.7037037037037037, ""3"": 0.5147186147186147, ""4"": 1.0, ""5"": 0.26666666666666666}",False,False,False
ADI+CV2+median_sales,3,6,197,True,,0.3960132730943771,233.27961185040328,20,43,1:28;2:43;3:41;4:23;5:42;6:20,0.6072878955406322,0.6030019176012344,0.47716129345995467,0.7459138991908856,"{""1"": 0.45714285714285713, ""2"": 0.7307692307692307, ""3"": 0.5326241134751772, ""4"": 1.0, ""5"": 0.41379310344827586, ""6"": 0.7399874843554444}",False,False,False
ADI+CV2+std_sales,3,2,197,True,,0.40326558584425143,173.57503416517483,64,133,1:133;2:64,0.46111953444470777,0.39423583927840633,0.2879236336278528,0.7788528798396039,"{""1"": 0.7302494802494802, ""2"": 0.6419753086419753}",False,True,False
ADI+CV2+std_sales,3,3,197,True,,0.27606231566229805,131.16380143357168,46,87,1:46;2:87;3:64,0.41034268622160436,0.3864306014871979,0.31327909835235357,0.5409694626698996,"{""1"": 0.39399763453577763, ""2"": 0.7254901960784313, ""3"": 0.5258697591436218}",False,True,False
ADI+CV2+std_sales,3,4,197,True,,0.2847181425588784,131.303856126952,37,64,1:46;2:50;3:37;4:64,0.5400125186106713,0.5368363509006168,0.4025057645474046,0.6785138611194287,"{""1"": 0.7307692307692307, ""2"": 0.7423963133640553, ""3"": 0.7083333333333334, ""4"": 0.46092796092796096}",False,True,False
ADI+CV2+std_sales,3,5,197,True,,0.2734128654073381,128.47908228049167,28,50,1:46;2:50;3:37;4:36;5:28,0.5652352917304185,0.5648871500602618,0.4246553900081656,0.7022386128412104,"{""1"": 0.7058823529411765, ""2"": 0.6666666666666666, ""3"": 0.7414285714285714, ""4"": 0.5652173913043478, ""5"": 0.38461538461538464}",False,True,False
ADI+CV2+std_sales,3,6,197,True,,0.2844552992537276,121.75829463555641,9,50,1:46;2:50;3:28;4:9;5:36;6:28,0.5626181435764506,0.5614118500377194,0.4350235776017447,0.6805339169472759,"{""1"": 0.6026315789473684, ""2"": 0.6, ""3"": 0.7444334487877289, ""4"": 0.5909090909090909, ""5"": 0.42857142857142855, ""6"": 0.5714285714285714}",False,True,False
ADI+CV2+nonzero_mean,3,2,197,True,,0.343380701459072,138.8648730030953,84,113,1:113;2:84,0.5813398573191747,0.5717503030265902,0.38902378652904523,0.8076367818062493,"{""1"": 0.8, ""2"": 0.7599551687763713}",False,True,False
ADI+CV2+nonzero_mean,3,3,197,True,,0.3271219519320394,123.71839355131104,54,84,1:59;2:54;3:84,0.5206628670170779,0.4620495881214673,0.3322615034048096,0.8090643882187826,"{""1"": 0.6222862206468764, ""2"": 0.46501956947162426, ""3"": 0.6944444444444444}",False,True,False
ADI+CV2+nonzero_mean,3,4,197,True,,0.2659837990236638,116.30770003149058,39,59,1:59;2:39;3:54;4:45,0.5820314101244514,0.5815568502243728,0.3978311159160314,0.777247629231508,"{""1"": 0.5144747725392886, ""2"": 0.825, ""3"": 0.8, ""4"": 0.4528301886792453}",False,True,False
