feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,minimum_cluster_jaccard_median,structural_eligible,pareto,analysis_mode,registry_sha256
ADI+CV2+acf1+promo_response_index+trend_coef,5,2,197,True,,0.20709562442321602,54.24151423657505,85,112,1:112;2:85,0.30644975710291555,0.2748939949906254,0.09946835872147988,0.5524054240008837,"{""1"": 0.6318840579710145, ""2"": 0.6113807982740022}",0.6113807982740022,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+trailing_zero_share+trend_coef,5,2,197,True,,0.29150615025640336,96.09494636560999,80,117,1:80;2:117,0.6486378262978167,0.6721187098630894,0.39366665642546583,0.8758446892746116,"{""1"": 0.8550195175658092, ""2"": 0.8028739121635297}",0.8028739121635297,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio+promo_response_index,5,2,197,True,,0.2951649645040902,101.99000637490661,92,105,1:92;2:105,0.6166122489382546,0.6521355670504008,0.28833458188844074,0.8758779449280846,"{""1"": 0.8333333333333334, ""2"": 0.8224789915966386}",0.8224789915966386,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio+trailing_zero_share,5,2,197,True,,0.31937991699536544,115.91068182182215,88,109,1:109;2:88,0.6557619238571947,0.6112979274618578,0.3906027870025668,0.9493700524152112,"{""1"": 0.8291793313069908, ""2"": 0.7923850574712643}",0.7923850574712643,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio+trend_coef,5,2,197,True,,0.2904391455822127,99.17780463659945,87,110,1:87;2:110,0.4062013631484665,0.37768817594675774,0.15406960058054464,0.6942782162702544,"{""1"": 0.6791288143489401, ""2"": 0.6846108140225787}",0.6791288143489401,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+promo_response_index+trailing_zero_share,5,2,197,True,,0.25553625976859584,71.93163411527533,94,103,1:94;2:103,0.4218123961377632,0.3626886620636637,0.1879706905722281,0.7158268354461156,"{""1"": 0.6567001309471846, ""2"": 0.6940690690690691}",0.6567001309471846,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+promo_response_index+trend_coef,5,2,197,True,,0.25301985733419263,77.69618375244764,83,114,1:114;2:83,0.5408378250426971,0.5330694510489051,0.23349133320024276,0.8281627056786733,"{""1"": 0.808695652173913, ""2"": 0.7043854033290653}",0.7043854033290653,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+trailing_zero_share+trend_coef,5,2,197,True,,0.31907814270092916,105.5857826192698,98,99,1:99;2:98,0.5666494747828047,0.5718630210994919,0.30263066883015,0.8285235154947753,"{""1"": 0.7932486799094796, ""2"": 0.774421768707483}",0.774421768707483,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+promo_response_index+trailing_zero_share,5,2,197,True,,0.2729251283351543,85.33454467916201,92,105,1:105;2:92,0.7109286867747814,0.7377094542017413,0.4610274598129536,0.9245466881480442,"{""1"": 0.8728886168910649, ""2"": 0.8615900383141762}",0.8615900383141762,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+promo_response_index+trend_coef,5,2,197,True,,0.2849571666028125,88.28621721020038,81,116,1:116;2:81,0.6748446247014342,0.6725232700606405,0.4265931289523388,0.9245409885131394,"{""1"": 0.8612486248624862, ""2"": 0.8}",0.8,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
