analysis_mode,selection_status,feature_set,sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,QFSJZ001-1,1,393,362,0.921119592875318,104,18,86,52.0,0.5,0.0,1.4073317037116178,2.888888888888889,0.5623042116254785,5.777777777777778,0.8269230769230769,0.2120004644284014,0.0096153846153846,0.6171733536643478,False,0.7311073541842773,0.0,3.1153846153846154,1.4505494505494505,1.2513736263736266,1.1591657519209655
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,LTKF0008,2,403,373,0.9255583126550868,104,5,99,11.0,0.1057692307692307,0.0,0.5731579905670502,2.2,0.5578512396694214,20.8,0.9519230769230768,0.0708948276958978,0.5480769230769231,0.2017795637198639,False,-0.0397102897102896,0.3479579567140892,2.2727272727272725,2.7142857142857144,1.2513736263736266,2.169045005488474
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRC0003,1,388,362,0.9329896907216496,135,49,86,124.0,0.9185185185185184,0.0,1.6483906753814024,2.5306122448979598,0.5341847684703435,2.7551020408163267,0.6370370370370371,0.5288026051186847,0.0074074074074074,0.4989727997370361,False,0.5852519502424625,0.1746223053006904,3.556451612903225,0.7603686635944701,1.197883597883598,0.6347600592727687
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,ZJJYZSJBV1AMDE,2,389,363,0.9331619537275064,104,19,85,35.0,0.3365384615384615,0.0,0.8658636961173051,1.8421052631578947,0.4015419501133788,5.473684210526316,0.8173076923076923,0.3017124707969034,0.4038461538461538,0.4682699571896274,False,-0.2753061224489798,0.0,2.7142857142857144,1.489795918367347,1.2513736263736266,1.1905284616590872
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,DRMJJ0021,2,401,377,0.940149625935162,135,15,120,28.0,0.2074074074074074,0.0,0.6921338009750597,1.8666666666666667,0.3635204081632652,9.0,0.8888888888888888,0.2572530735493586,0.074074074074074,0.5167519776640299,False,0.255252100840336,0.0,2.6785714285714284,1.5357142857142858,1.197883597883598,1.28202296819788
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,XFTW0001,1,402,378,0.9402985074626866,30,7,23,23.0,0.7666666666666667,0.0,1.7356968854500254,3.2857142857142856,0.454316320100819,4.285714285714286,0.7666666666666667,0.1715506947954583,0.3,0.5620031796502383,False,0.3239831697054699,,2.130434782608696,0.1366459627329192,1.0238095238095235,0.1334681496461072
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRW0009,2,407,383,0.941031941031941,135,28,107,48.0,0.3555555555555555,0.0,0.8327858898351111,1.7142857142857142,0.3492798353909466,4.821428571428571,0.7925925925925926,0.4252129321133258,0.0,0.4010797037370395,False,0.6897058823529413,0.0,2.916666666666667,1.2827380952380951,1.197883597883598,1.0708370141342756
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRW00023,2,394,371,0.9416243654822336,30,7,23,9.0,0.3,0.0,0.651258728182957,1.2857142857142858,0.345679012345679,4.285714285714286,0.7666666666666667,0.2941426173945132,0.0,0.1264555784251187,False,0.8781362007168461,,2.333333333333333,1.507936507936508,1.0238095238095235,1.472868217054264
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,QCXXC0001,2,414,390,0.9420289855072465,104,20,84,41.0,0.3942307692307692,0.0,0.9390996434901284,2.05,0.28742289990294,5.2,0.8076923076923077,0.3986101568264897,0.0961538461538461,0.426552462526766,False,0.2870544090056285,0.0,2.439024390243903,1.8222996515679444,1.2513736263736266,1.4562394581135711
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRH0049,2,403,381,0.9454094292803972,104,6,98,10.0,0.0961538461538461,0.0,0.4729422627219507,1.6666666666666667,0.5279999999999999,17.333333333333332,0.9423076923076924,0.1491794076135934,0.6153846153846154,0.1315345699831368,False,-0.1048351648351649,0.2356907698187839,2.4,0.7857142857142857,1.2513736263736266,0.6278814489571898
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,SLT0004,2,406,384,0.9458128078817734,135,10,125,17.0,0.1259259259259259,0.0,0.5100428666449202,1.7,0.3114186851211073,13.5,0.925925925925926,0.1541840263608379,0.1925925925925926,0.6843007067894625,False,0.1864667435601692,0.0,1.7647058823529411,2.260504201680672,1.197883597883598,1.887081687798794
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,ZJJSJBV001AMDE,2,404,383,0.948019801980198,104,21,83,31.0,0.2980769230769231,0.0,0.6950561574337408,1.4761904761904765,0.3037460978147762,4.9523809523809526,0.7980769230769231,0.4765390110999343,0.1442307692307692,0.3154808444096945,False,-0.0696029776674939,0.3626003017575404,2.7096774193548385,1.488479262672811,1.2513736263736266,1.1894762933323888
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,DRMJJ0038,2,384,366,0.953125,30,6,24,9.0,0.3,0.0,0.7022132498578064,1.5,0.3111111111111111,5.0,0.8,0.4926905198700269,0.4,0.1553398058252428,False,-0.1591397849462366,,2.0,1.1428571428571428,1.0238095238095235,1.116279069767442
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,LTKF0111,2,392,374,0.9540816326530612,135,23,112,40.0,0.2962962962962963,0.0,0.773382511160079,1.7391304347826086,0.3371590909090908,5.869565217391305,0.8296296296296296,0.3168616630977106,0.0,0.4280445279108307,False,0.7253267973856211,0.0,2.875,1.4,1.197883597883598,1.1687279151943462
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,XYMLRY00001,2,396,378,0.9545454545454546,30,15,15,24.0,0.8,0.5,0.924755326447544,1.6,0.1562499999999999,2.0,0.5,0.707128186161956,0.0333333333333333,0.13,False,0.5483870967741934,,1.875,1.1488095238095235,1.0238095238095235,1.1220930232558142
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRW0013,1,393,377,0.9592875318066156,104,11,93,29.0,0.2788461538461538,0.0,0.9599426638342218,2.636363636363636,0.3819262782401903,9.454545454545457,0.8942307692307693,0.0724702064547018,0.6826923076923077,0.725839475839476,False,-0.2999052671466466,0.1225105184584157,2.2758620689655173,1.70935960591133,1.2513736263736266,1.3659866005526324
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,DRMJJ0025,2,394,378,0.9593908629441624,135,21,114,37.0,0.2740740740740741,0.0,0.7474297214467288,1.761904761904762,0.3190650109569029,6.428571428571429,0.8444444444444444,0.3475878002898995,0.0074074074074074,0.4116355653128434,False,0.4158452570217276,0.0,2.8378378378378377,1.2007722007722008,1.197883597883598,1.0024114220227294
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,CLSSLT0006,2,404,388,0.9603960396039604,135,27,108,50.0,0.3703703703703703,0.0,0.852920712844468,1.851851851851852,0.2625230769230769,5.0,0.8,0.4554717509352204,0.0,0.3262583069228398,False,0.5537647058823527,0.0,2.16,1.6,1.197883597883598,1.3356890459363957
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,JZJ0004,2,383,368,0.9608355091383812,104,15,89,25.0,0.2403846153846154,0.0,0.6754386177610497,1.6666666666666667,0.2914285714285713,6.933333333333334,0.8557692307692307,0.2877258633923616,0.2211538461538461,0.4033926354985517,False,0.2891208791208791,0.3742916016141775,2.4,1.4514285714285713,1.2513736263736266,1.1598682766190995
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,SRPDZS0002,2,386,371,0.961139896373057,104,5,99,8.0,0.0769230769230769,0.0,0.3864779397441557,1.6,0.3124999999999999,20.8,0.9519230769230768,0.0705700254958504,0.2307692307692307,0.6748737373737378,False,0.1428571428571428,0.0623725397756776,1.875,1.7142857142857144,1.2513736263736266,1.3699231613611416
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,DRMJJ0039,2,408,394,0.965686274509804,30,6,24,9.0,0.3,0.0,0.651258728182957,1.5,0.1333333333333333,5.0,0.8,0.356861687972914,0.5,0.1807909604519775,False,-0.4086021505376345,,1.3333333333333333,1.365079365079365,1.0238095238095235,1.3333333333333337
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRH0002,1,393,380,0.9669211195928752,104,40,64,119.0,1.1442307692307692,0.0,1.9578979674852564,2.975,0.5127118720791484,2.6,0.6153846153846154,0.2527501330942421,0.4326923076923077,0.4892183953419527,False,-0.4947825283959741,0.0,4.033613445378151,1.2364945978391355,1.2513736263736266,0.9881098432786944
