feature_set,sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability
ADI+CV2+acf1+nonzero_mean,FRW0020,2,408,408,1.0
ADI+CV2+acf1+nonzero_mean,FRW0023,2,389,389,1.0
ADI+CV2+acf1+nonzero_mean,FSTBY001,2,397,397,1.0
ADI+CV2+acf1+nonzero_mean,FZGLS0001,2,397,397,1.0
ADI+CV2+acf1+nonzero_mean,FZGLS0002,2,397,397,1.0
ADI+CV2+acf1+nonzero_mean,FZLRJ0001,1,418,418,1.0
ADI+CV2+acf1+nonzero_mean,FZLRJ0001double,2,399,399,1.0
ADI+CV2+acf1+nonzero_mean,FZLRJ0002,1,402,402,1.0
ADI+CV2+acf1+nonzero_mean,FZLRJ0002double,2,402,402,1.0
ADI+CV2+acf1+nonzero_mean,GJMJSLW001,1,391,391,1.0
ADI+CV2+acf1+nonzero_mean,GJMJWJX001,1,414,414,1.0
ADI+CV2+acf1+nonzero_mean,GJMJWJXW001,1,391,391,1.0
ADI+CV2+acf1+nonzero_mean,HLGKSLT0001,1,407,407,1.0
ADI+CV2+acf1+nonzero_mean,HSAKSLT0001,2,395,395,1.0
ADI+CV2+acf1+nonzero_mean,HZSN0001,1,389,389,1.0
ADI+CV2+acf1+nonzero_mean,JZJ00012,1,402,402,1.0
ADI+CV2+acf1+nonzero_mean,JZJ0002,1,400,400,1.0
ADI+CV2+acf1+nonzero_mean,JZJ0003,1,405,405,1.0
ADI+CV2+acf1+nonzero_mean,JZJ0008,1,402,402,1.0
ADI+CV2+acf1+nonzero_mean,JZJ0009,1,401,401,1.0
ADI+CV2+acf1+nonzero_mean,JZJ0013,1,399,399,1.0
ADI+CV2+acf1+nonzero_mean,JZJ0017,2,387,387,1.0
ADI+CV2+acf1+nonzero_mean,JZJ0019,1,389,389,1.0
ADI+CV2+acf1+nonzero_mean,JZQCQ001,1,396,396,1.0
ADI+CV2+acf1+nonzero_mean,JZQCQ003,1,408,408,1.0
ADI+CV2+acf1+nonzero_mean,KFYFQ54mm,1,400,400,1.0
ADI+CV2+acf1+nonzero_mean,KFYFQ58mm,1,403,403,1.0
ADI+CV2+acf1+nonzero_mean,KFZ0001,2,399,399,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0005A,2,396,396,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0020,1,410,410,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0021,1,394,394,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0022M,1,399,399,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0024A,2,403,403,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0031,1,410,410,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0058,2,406,406,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0101,1,416,416,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0102,2,402,402,1.0
ADI+CV2+acf1+nonzero_mean,LTKF0106,2,404,404,1.0
ADI+CV2+acf1+nonzero_mean,LTKF098,1,394,394,1.0
ADI+CV2+acf1+nonzero_mean,LYC0203,2,404,404,1.0
ADI+CV2+acf1+nonzero_mean,QCCXC0004,1,396,396,1.0
ADI+CV2+acf1+nonzero_mean,QCCXC0007,1,377,377,1.0
ADI+CV2+acf1+nonzero_mean,QCXDS001,1,412,412,1.0
ADI+CV2+acf1+nonzero_mean,QCXXC0002,2,410,410,1.0
ADI+CV2+acf1+nonzero_mean,QFSJZ003,2,410,410,1.0
ADI+CV2+acf1+nonzero_mean,RLHZHMV000AMDE,1,408,408,1.0
ADI+CV2+acf1+nonzero_mean,SKZ2FT01,1,394,394,1.0
ADI+CV2+acf1+nonzero_mean,SKZ3FT01,1,411,411,1.0
ADI+CV2+acf1+nonzero_mean,XHP0001,1,394,394,1.0
ADI+CV2+acf1+nonzero_mean,XHZXCZP0001,1,381,381,1.0
ADI+CV2+acf1+nonzero_mean,XHZXCZP0002,1,398,398,1.0
ADI+CV2+acf1+nonzero_mean,XMJ0004,1,397,397,1.0
ADI+CV2+acf1+nonzero_mean,XMSH0001,1,393,393,1.0
ADI+CV2+acf1+nonzero_mean,XXGP0002,1,386,386,1.0
ADI+CV2+acf1+nonzero_mean,XYJ0001,1,405,405,1.0
ADI+CV2+acf1+nonzero_mean,XYMGPD0001,1,394,394,1.0
ADI+CV2+acf1+nonzero_mean,YDBZ001,1,393,393,1.0
ADI+CV2+acf1+nonzero_mean,YDBZ002,1,398,398,1.0
ADI+CV2+acf1+nonzero_mean,YDBZLV0001AMDE,2,413,413,1.0
ADI+CV2+acf1+nonzero_mean,YDBZWV0001AMDE,2,392,392,1.0
ADI+CV2+acf1+nonzero_mean,YEC0009,1,390,390,1.0
ADI+CV2+acf1+nonzero_mean,YJX0025,2,400,400,1.0
ADI+CV2+acf1+nonzero_mean,YXBLJ0001,2,408,408,1.0
ADI+CV2+acf1+nonzero_mean,ZJJYZBV001AMDE,1,391,391,1.0
ADI+CV2+acf1+nonzero_mean,ZJJYZSJSV2AMDE,2,409,409,1.0
ADI+CV2+acf1+nonzero_mean,ZTD0003,1,396,396,1.0
ADI+CV2+acf1+nonzero_mean,xymzd0015,1,396,396,1.0
ADI+CV2+acf1+nonzero_mean,zxy0002,2,393,393,1.0
ADI+CV2+peak_ratio,FRW0013,1,393,54,0.13740458015267176
ADI+CV2+peak_ratio,FRH0045,1,401,67,0.16708229426433915
ADI+CV2+peak_ratio,YBB0001,1,404,145,0.3589108910891089
ADI+CV2+peak_ratio,FDBLHP0001,1,393,160,0.4071246819338422
ADI+CV2+peak_ratio,JZJ0004,1,383,173,0.4516971279373368
ADI+CV2+peak_ratio,FRC0002,1,406,192,0.4729064039408867
ADI+CV2+peak_ratio,QFSJZ003-1,1,389,192,0.493573264781491
ADI+CV2+peak_ratio,ZTD0001,1,399,199,0.49874686716791977
ADI+CV2+peak_ratio,DRMJJ0025,1,394,223,0.565989847715736
ADI+CV2+peak_ratio,LTKF0111,1,392,223,0.5688775510204082
ADI+CV2+peak_ratio,JZJ0018,1,392,225,0.5739795918367347
ADI+CV2+peak_ratio,ZJJSJBV001AMDE,1,404,233,0.5767326732673267
ADI+CV2+peak_ratio,FRW0009,1,407,243,0.597051597051597
ADI+CV2+peak_ratio,ZJJYZSJBV1AMDE,1,389,235,0.6041131105398457
ADI+CV2+peak_ratio,QCXXC0001,1,414,252,0.6086956521739131
ADI+CV2+peak_ratio,XYMZG0016,1,406,253,0.6231527093596059
ADI+CV2+peak_ratio,xgx0013,1,392,252,0.6428571428571429
ADI+CV2+peak_ratio,CLSSLT0006,1,404,280,0.693069306930693
ADI+CV2+peak_ratio,FZLRICBHP0001,1,375,268,0.7146666666666667
ADI+CV2+peak_ratio,DRMJJ0038,1,384,276,0.71875
ADI+CV2+peak_ratio,NNB0002,1,405,294,0.725925925925926
ADI+CV2+peak_ratio,DRMJJ0026,1,401,292,0.7281795511221946
ADI+CV2+peak_ratio,FRW00023,1,394,288,0.7309644670050761
ADI+CV2+peak_ratio,XYMGPD0002,1,409,304,0.7432762836185819
ADI+CV2+peak_ratio,XXGP0002,1,386,288,0.7461139896373057
ADI+CV2+peak_ratio,XFTW0001,1,402,305,0.7587064676616916
ADI+CV2+peak_ratio,XGX9995,1,396,301,0.76010101010101
ADI+CV2+peak_ratio,FRH0004,1,405,309,0.762962962962963
ADI+CV2+peak_ratio,QFDNZGJK001,1,393,302,0.7684478371501272
ADI+CV2+peak_ratio,LTKF0022,1,396,305,0.7702020202020202
ADI+CV2+peak_ratio,XGX9993,1,398,310,0.7788944723618091
ADI+CV2+peak_ratio,SLT0003,1,381,302,0.7926509186351706
ADI+CV2+peak_ratio,HWZDSKL0002,1,389,312,0.8020565552699229
ADI+CV2+peak_ratio,FRH0028,1,398,322,0.8090452261306532
ADI+CV2+peak_ratio,ZJJYZBV001AMDE,1,391,320,0.8184143222506394
ADI+CV2+peak_ratio,JZJ0008,1,402,334,0.8308457711442786
ADI+CV2+peak_ratio,ZBTZ0003,1,400,339,0.8475
ADI+CV2+peak_ratio,SKZ2FT01,1,394,335,0.850253807106599
ADI+CV2+peak_ratio,QFSJZ001-1,1,393,338,0.8600508905852418
ADI+CV2+peak_ratio,JZJ00011,1,416,358,0.8605769230769231
ADI+CV2+peak_ratio,FRH0029,1,410,353,0.8609756097560975
ADI+CV2+peak_ratio,DRMJJ0021,2,401,346,0.8628428927680798
ADI+CV2+peak_ratio,YEC0009,1,390,340,0.8717948717948718
ADI+CV2+peak_ratio,QCCXC0005,1,405,355,0.8765432098765432
ADI+CV2+peak_ratio,QFDNZGJK002,1,395,348,0.8810126582278481
ADI+CV2+peak_ratio,XMJ0004,1,397,350,0.8816120906801007
ADI+CV2+peak_ratio,XYMLRY00001,1,396,354,0.8939393939393939
ADI+CV2+peak_ratio,JZJ0019,1,389,351,0.9023136246786633
ADI+CV2+peak_ratio,DRMJJ0022,1,395,357,0.9037974683544304
ADI+CV2+peak_ratio,KFYFQ54mm,1,400,363,0.9075
ADI+CV2+peak_ratio,CLSSLT0003,1,400,366,0.915
ADI+CV2+peak_ratio,FZLRJ0005,1,387,356,0.9198966408268734
ADI+CV2+peak_ratio,FRH0044,2,401,371,0.9251870324189526
ADI+CV2+peak_ratio,XGX9992,2,401,372,0.9276807980049875
ADI+CV2+peak_ratio,JZJ0003,1,405,378,0.9333333333333333
ADI+CV2+peak_ratio,DRMJJ0039,2,408,381,0.9338235294117647
ADI+CV2+peak_ratio,LTKF098,1,394,368,0.934010152284264
ADI+CV2+peak_ratio,FRW0016,2,393,368,0.9363867684478372
ADI+CV2+peak_ratio,JZJ0009,1,401,376,0.9376558603491272
ADI+CV2+peak_ratio,QFSJZ002-1,2,387,364,0.9405684754521964
ADI+CV2+peak_ratio,LTKF0101,1,416,393,0.9447115384615384
ADI+CV2+peak_ratio,ZJJYZSJSV1AMDE,2,391,372,0.9514066496163683
ADI+CV2+peak_ratio,LTKF098B,1,417,397,0.9520383693045563
ADI+CV2+peak_ratio,FRH0065,1,414,399,0.9637681159420289
ADI+CV2+peak_ratio,KZCWBG001,1,389,375,0.9640102827763496
ADI+CV2+peak_ratio,JZJ0005,1,402,388,0.9651741293532339
ADI+CV2+peak_ratio,FZLRJ0001,1,418,406,0.9712918660287081
ADI+CV2+peak_ratio,JZJ0014,1,394,383,0.9720812182741116
ADI+CV2+peak_ratio,FRH0049,2,403,392,0.9727047146401985
ADI+CV2+peak_ratio,LTKF0008,2,403,393,0.9751861042183623
ADI+CV2+peak_ratio,SKZ3FT01,1,411,403,0.9805352798053528
ADI+CV2+peak_ratio,DRMJJ0027,2,387,380,0.9819121447028424
ADI+CV2+peak_ratio,FRH0064,1,393,386,0.9821882951653944
ADI+CV2+peak_ratio,xymzd0015,1,396,389,0.9823232323232324
ADI+CV2+peak_ratio,FRW0017,2,408,401,0.9828431372549019
ADI+CV2+peak_ratio,LTKF0009,2,415,408,0.983132530120482
ADI+CV2+peak_ratio,DHZXCZP0001,1,387,381,0.9844961240310077
ADI+CV2+peak_ratio,FRH0048,1,396,390,0.9848484848484849
ADI+CV2+peak_ratio,JZQCQ001,1,396,390,0.9848484848484849
ADI+CV2+peak_ratio,XHZXCZP0002,1,398,392,0.9849246231155779
ADI+CV2+peak_ratio,WSJZS0004,2,379,374,0.9868073878627969
ADI+CV2+peak_ratio,JZJ0013,1,399,394,0.9874686716791979
ADI+CV2+peak_ratio,FZLRJ0002double,2,402,397,0.9875621890547264
ADI+CV2+peak_ratio,HLGKSLT0001,1,407,402,0.9877149877149877
ADI+CV2+peak_ratio,xgx0016,1,410,405,0.9878048780487805
ADI+CV2+peak_ratio,HZSN0001,1,389,385,0.9897172236503856
ADI+CV2+peak_ratio,FRW0005,1,393,389,0.989821882951654
ADI+CV2+peak_ratio,YDBZ001,1,393,389,0.989821882951654
ADI+CV2+peak_ratio,LTKF0021,1,394,390,0.9898477157360406
ADI+CV2+peak_ratio,XYMGPD0001,1,394,390,0.9898477157360406
ADI+CV2+peak_ratio,FRH0051,1,395,391,0.9898734177215189
ADI+CV2+peak_ratio,FRH0068,1,395,391,0.9898734177215189
ADI+CV2+peak_ratio,DRMJJ0020,1,401,397,0.9900249376558603
ADI+CV2+peak_ratio,KFYFQ58mm,1,403,399,0.9900744416873449
ADI+CV2+peak_ratio,LTKF0024A,2,403,399,0.9900744416873449
ADI+CV2+peak_ratio,LTKF0020,1,410,406,0.9902439024390244
ADI+CV2+peak_ratio,WSJZS0002,2,395,392,0.9924050632911392
ADI+CV2+peak_ratio,FRH0043,2,398,395,0.992462311557789
ADI+CV2+peak_ratio,KFYFQ51mm,1,398,395,0.992462311557789
ADI+CV2+peak_ratio,BLP0001,1,400,397,0.9925
ADI+CV2+peak_ratio,JZJ0002,1,400,397,0.9925
ADI+CV2+peak_ratio,SPH0001,2,403,400,0.9925558312655087
ADI+CV2+peak_ratio,FRH0034,1,405,402,0.9925925925925926
ADI+CV2+peak_ratio,FRH0056,1,412,409,0.9927184466019418
ADI+CV2+peak_ratio,DRMJJ0023,1,383,381,0.9947780678851175
ADI+CV2+peak_ratio,FRH0037,2,398,396,0.9949748743718593
ADI+CV2+peak_ratio,ETZP0003,1,390,389,0.9974358974358974
ADI+CV2+peak_ratio,LRKF0001,2,391,390,0.9974424552429667
ADI+CV2+peak_ratio,FRH0001,1,400,399,0.9975
ADI+CV2+peak_ratio,LTKF0047,1,402,401,0.9975124378109452
ADI+CV2+peak_ratio,LTKF0102,2,402,401,0.9975124378109452
ADI+CV2+peak_ratio,BLP0003,2,403,402,0.9975186104218362
ADI+CV2+peak_ratio,FRH0040,1,412,411,0.9975728155339806
ADI+CV2+peak_ratio,FRW00011,2,417,416,0.9976019184652278
ADI+CV2+peak_ratio,BLJZ0001,2,394,394,1.0
ADI+CV2+peak_ratio,BLP0002,1,397,397,1.0
ADI+CV2+peak_ratio,BLP0004,2,395,395,1.0
ADI+CV2+peak_ratio,CWW0002,1,405,405,1.0
ADI+CV2+peak_ratio,ETZP0004,1,397,397,1.0
ADI+CV2+peak_ratio,FDBLP0001,1,398,398,1.0
ADI+CV2+peak_ratio,FRC0003,1,388,388,1.0
ADI+CV2+peak_ratio,FRC0010,2,414,414,1.0
