sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
FRC0002,104,16,88,66.0,0.6346153846153846,0.0,1.7463286999602063,4.125,0.3281297826752372,6.5,0.8461538461538461,0.12731194386401967,0.5961538461538461,0.7991767764298092,False,-0.35138195138195166,0.30711223977762325,2.1818181818181817,0.6406926406926406,1.2513736263736266,0.5119914845491134
FRC0003,135,49,86,124.0,0.9185185185185185,0.0,1.6483906753814024,2.5306122448979593,0.5341847684703435,2.7551020408163267,0.6370370370370371,0.5288026051186847,0.007407407407407408,0.4989727997370361,False,0.5852519502424625,0.1746223053006904,3.5564516129032255,0.7603686635944701,1.197883597883598,0.6347600592727687
FRC0010,104,8,96,11.0,0.10576923076923077,0.0,0.39211324970913797,1.375,0.14167650531286896,13.0,0.9230769230769231,0.22406338275454551,0.4807692307692308,0.368098159509203,False,-0.06833166833166837,0.0,1.4545454545454546,1.1948051948051948,1.2513736263736266,0.9547949306456439
FRC0011,104,1,103,1.0,0.009615384615384616,0.0,0.09805806756909202,1.0,,104.0,0.9903846153846154,0.0557810849705159,0.7403846153846154,-0.009803921568627484,False,-0.028021978021978033,0.03437623890818591,1.0,3.0,1.2513736263736266,2.3973655323819973
FRH0001,104,36,68,138.0,1.3269230769230769,0.0,2.3624995307640475,3.8333333333333335,0.44526059951390773,2.888888888888889,0.6538461538461539,0.4264990977770371,0.4230769230769231,0.6737082839234284,False,-0.36005733397037754,0.0,3.652173913043478,1.0579710144927537,1.2513736263736266,0.8454477481347141
FRH0002,104,36,68,111.0,1.0673076923076923,0.0,1.9620893513937825,3.0833333333333335,0.5191693624126055,2.888888888888889,0.6538461538461539,0.2702084525486419,0.4326923076923077,0.4815096748845873,False,-0.41467181467181485,0.0,3.8918918918918917,1.166023166023166,1.2513736263736266,0.931794582727623
FRH0003,104,46,58,278.0,2.673076923076923,0.0,4.635117760555773,6.043478260869565,0.7763090247226677,2.260869565217391,0.5576923076923077,0.29291285316928595,0.057692307692307696,0.7928067117402634,False,-0.33766305636809235,0.0,4.302158273381295,1.6130524152106887,1.2513736263736266,1.2890254207172132
FRH0004,104,24,80,83.0,0.7980769230769231,0.0,1.731376957448225,3.4583333333333335,0.31975360846213563,4.333333333333333,0.7692307692307693,0.17628309783768414,0.5288461538461539,0.7598311066296909,False,-0.38909042764464485,0.6122108024296905,2.0240963855421685,1.4268502581755593,1.2513736263736266,1.1402272096068133
FRH0012,104,2,102,4.0,0.038461538461538464,0.0,0.30918235179532455,2.0,0.5000000000000001,52.0,0.9807692307692307,0.11105529749182597,0.5865384615384616,-0.015779092702169723,False,-0.03736263736263739,0.1316694001741382,1.5,1.25,1.2513736263736266,0.9989023051591656
FRH0028,135,27,108,48.0,0.35555555555555557,0.0,0.9098685050695035,1.7777777777777777,0.5192307692307693,5.0,0.8,0.4541860010812193,0.014814814814814815,0.2419181034482752,False,0.011029411764705758,0.0,2.8125,1.25,1.197883597883598,1.043507067137809
FRH0029,104,28,76,46.0,0.4423076923076923,0.0,0.9225010650865856,1.6428571428571428,0.44500455086466434,3.7142857142857144,0.7307692307692307,0.5541903830370158,0.009615384615384616,0.31394316163410296,False,0.3090301003344481,0.0,2.4347826086956523,1.329192546583851,1.2513736263736266,1.0621867990263922
FRH0031,104,7,97,12.0,0.11538461538461539,0.0,0.44738055970047347,1.7142857142857142,0.08101851851851856,14.857142857142858,0.9326923076923077,0.26400008048919077,0.38461538461538464,0.02921771913289354,False,-0.03205128205128211,0.0,1.1666666666666667,1.2857142857142858,1.2513736263736266,1.027442371020856
FRH0033,135,88,47,477.0,3.533333333333333,2.0,4.1551981471153745,5.420454545454546,0.5529523254405916,1.5340909090909092,0.34814814814814815,0.6969036873986845,0.0,0.4658114826641794,False,-0.27624724243296234,0.0,4.243186582809224,1.2887091943695719,1.197883597883598,1.0758217214480965
FRH0034,135,51,84,129.0,0.9555555555555556,0.0,1.6293331053407107,2.5294117647058822,0.47736073553272046,2.6470588235294117,0.6222222222222222,0.6283299312780275,0.17777777777777778,0.3658639183931005,False,-0.21757105943152472,0.009685984020990236,3.162790697674419,1.1406423034330013,1.197883597883598,0.9522146437669489
FRH0035,104,13,91,25.0,0.2403846153846154,0.0,0.7035995152210297,1.9230769230769231,0.20106666666666664,8.0,0.875,0.12423256207025224,0.6153846153846154,0.46988181471597307,False,-0.2740000000000001,0.3104502571851138,2.08,1.1942857142857144,1.2513736263736266,0.9543798024149286
FRH0036,104,3,101,6.0,0.057692307692307696,0.0,0.3363690494322897,2.0,0.0,34.666666666666664,0.9711538461538461,0.0699111470864287,0.6923076923076923,0.6566666666666663,False,-0.07087912087912089,0.11798250156431679,1.0,1.9523809523809526,1.2513736263736266,1.5601902671057444
FRH0037,104,10,94,13.0,0.125,0.0,0.43371280372673443,1.3,0.26955950032873105,10.4,0.9038461538461539,0.1777815305637589,0.5673076923076923,0.4834503510531562,False,-0.17540152155536784,0.3370951840311603,2.3076923076923075,0.9560439560439561,1.2513736263736266,0.7639956092206366
FRH0040,104,16,88,63.0,0.6057692307692307,0.0,2.0734955675280875,3.9375,1.0016292936927857,6.5,0.8461538461538461,0.24908280481038048,0.47115384615384615,0.5479878878307802,False,-0.09056340484911926,0.0,4.063492063492063,1.8934240362811792,1.2513736263736266,1.5130765075880332
FRH0042,104,10,94,16.0,0.15384615384615385,0.0,0.5170722427832577,1.6,0.19097222222222227,10.4,0.9038461538461539,0.21910695590775675,0.3269230769230769,0.527522935779816,False,0.07898351648351638,0.0,1.875,1.5089285714285714,1.2513736263736266,1.2058177826564214
FRH0043,135,12,123,17.0,0.1259259259259259,0.0,0.46407715566744123,1.4166666666666667,0.3133060710915382,11.25,0.9111111111111111,0.28149004212522544,0.1037037037037037,0.30659767141009087,False,0.13979238754325257,0.0,2.1176470588235294,0.8151260504201681,1.197883597883598,0.6804718353772604
FRH0044,135,31,104,41.0,0.3037037037037037,0.0,0.6019132936278128,1.3225806451612903,0.12908982748364067,4.354838709677419,0.7703703703703704,0.6007903896931266,0.08888888888888889,0.19513322039119074,False,0.3444444444444444,0.0,1.5121951219512195,1.2613240418118468,1.197883597883598,1.05296044126519
FRH0045,104,12,92,96.0,0.9230769230769231,0.0,3.0296025170806016,8.0,0.3778409090909091,8.666666666666666,0.8846153846153846,0.16619642479237917,0.4230769230769231,0.7564911703636699,False,-0.0655219780219781,0.0,2.0,0.5773809523809524,1.2513736263736266,0.46139773143066226
FRH0046,135,77,58,280.0,2.074074074074074,1.0,3.4847849023099844,3.6363636363636362,1.1839473684210526,1.7532467532467533,0.42962962962962964,0.4063540659224425,0.0,0.778744108098394,False,1.812124183006536,0.0,5.5,1.1964285714285716,1.197883597883598,0.998785335689046
FRH0047,104,13,91,35.0,0.33653846153846156,0.0,0.9814846780585165,2.6923076923076925,0.19278911564625847,8.0,0.875,0.2564403800072763,0.3942307692307692,0.47531347962382625,False,-0.04755102040816339,0.0,1.857142857142857,0.8775510204081632,1.2513736263736266,0.7012701897443938
FRH0048,135,99,36,650.0,4.814814814814815,5.0,4.317934112832659,6.565656565656566,0.32200284989735534,1.3636363636363635,0.26666666666666666,0.7512050052721033,0.0,0.5980274061608486,False,1.09910407239819,0.11143344037982346,2.589230769230769,1.0652747252747254,1.197883597883598,0.8892973634139713
FRH0049,104,6,98,10.0,0.09615384615384616,0.0,0.4729422627219507,1.6666666666666667,0.5279999999999999,17.333333333333332,0.9423076923076923,0.14917940761359344,0.6153846153846154,0.1315345699831368,False,-0.10483516483516495,0.23569076981878398,2.4,0.7857142857142857,1.2513736263736266,0.6278814489571898
FRH0050,135,55,80,126.0,0.9333333333333333,0.0,1.7156000647264948,2.290909090909091,0.7880751752003958,2.4545454545454546,0.5925925925925926,0.8092855294473709,0.1259259259259259,0.34184176591064225,False,0.3072673513849983,0.045287283134011064,4.801587301587301,1.7448979591836733,1.197883597883598,1.4566506814740028
FRH0051,135,104,31,420.0,3.111111111111111,2.0,2.9056472720637894,4.038461538461538,0.441615921449486,1.2980769230769231,0.22962962962962963,0.788501568606629,0.0,0.55925195174389,False,0.7286150015561779,0.0,3.219047619047619,1.4551020408163264,1.197883597883598,1.2147274103987884
FRH0052,104,3,101,3.0,0.028846153846153848,0.0,0.1681845247161448,1.0,0.0,34.666666666666664,0.9711538461538461,0.13286299557309889,0.40384615384615385,-0.029999999999999912,False,-0.028021978021978033,0.0,1.0,1.6666666666666667,1.2513736263736266,1.3318697402122208
FRH0056,135,108,27,974.0,7.214814814814815,6.0,6.270500926436069,9.018518518518519,0.4035485087076398,1.25,0.2,0.7748735813361405,0.0,0.6328630185600012,False,1.3982848170068847,0.0,2.7720739219712525,1.1714579055441479,1.197883597883598,0.9779396826318194
