sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
FRH0029,104,28,76,46.0,0.4423076923076923,0.0,0.9225010650865856,1.6428571428571428,0.44500455086466434,3.7142857142857144,0.7307692307692307,0.5541903830370158,0.009615384615384616,0.31394316163410296,False,0.3090301003344481,0.0,2.4347826086956523,1.329192546583851,1.2513736263736266,1.0621867990263922
FRH0031,104,7,97,12.0,0.11538461538461539,0.0,0.44738055970047347,1.7142857142857142,0.08101851851851856,14.857142857142858,0.9326923076923077,0.26400008048919077,0.38461538461538464,0.02921771913289354,False,-0.03205128205128211,0.0,1.1666666666666667,1.2857142857142858,1.2513736263736266,1.027442371020856
FRH0033,135,98,37,540.5,4.003703703703704,3.0,4.111844148264018,5.51530612244898,0.4909340139436804,1.3775510204081634,0.2740740740740741,0.7594189364346138,0.0,0.4302210621011512,False,-0.32648298295574807,0.0,4.170212765957447,1.2855028412845249,1.197883597883598,1.073145039764908
FRH0034,135,60,75,151.5,1.1222222222222222,0.0,1.652301274733988,2.525,0.407570543931386,2.25,0.5555555555555556,0.6853905964740767,0.17777777777777778,0.3788480020633894,False,-0.341810651653401,0.0,3.1683168316831685,1.3412541254125412,1.197883597883598,1.1196865269565823
FRH0035,104,13,91,25.0,0.2403846153846154,0.0,0.7035995152210297,1.9230769230769231,0.20106666666666664,8.0,0.875,0.12423256207025224,0.6153846153846154,0.46988181471597307,False,-0.2740000000000001,0.3104502571851138,2.08,1.1942857142857144,1.2513736263736266,0.9543798024149286
FRH0037,104,10,94,13.0,0.125,0.0,0.43371280372673443,1.3,0.26955950032873105,10.4,0.9038461538461539,0.1777815305637589,0.5673076923076923,0.4834503510531562,False,-0.17540152155536784,0.3370951840311603,2.3076923076923075,0.9560439560439561,1.2513736263736266,0.7639956092206366
FRH0040,104,16,88,63.0,0.6057692307692307,0.0,2.0734955675280875,3.9375,1.0016292936927857,6.5,0.8461538461538461,0.24908280481038048,0.47115384615384615,0.5479878878307802,False,-0.09056340484911926,0.0,4.063492063492063,1.8934240362811792,1.2513736263736266,1.5130765075880332
FRH0042,104,10,94,16.0,0.15384615384615385,0.0,0.5170722427832577,1.6,0.19097222222222227,10.4,0.9038461538461539,0.21910695590775675,0.3269230769230769,0.527522935779816,False,0.07898351648351638,0.0,1.875,1.5089285714285714,1.2513736263736266,1.2058177826564214
FRH0043,135,12,123,17.0,0.1259259259259259,0.0,0.46407715566744123,1.4166666666666667,0.3133060710915382,11.25,0.9111111111111111,0.28149004212522544,0.1037037037037037,0.30659767141009087,False,0.13979238754325257,0.0,2.1176470588235294,0.8151260504201681,1.197883597883598,0.6804718353772604
FRH0044,135,31,104,41.0,0.3037037037037037,0.0,0.6019132936278128,1.3225806451612903,0.12908982748364067,4.354838709677419,0.7703703703703704,0.6007903896931266,0.08888888888888889,0.19513322039119074,False,0.3444444444444444,0.0,1.5121951219512195,1.2613240418118468,1.197883597883598,1.05296044126519
FRH0045,104,12,92,96.0,0.9230769230769231,0.0,3.0296025170806016,8.0,0.3778409090909091,8.666666666666666,0.8846153846153846,0.16619642479237917,0.4230769230769231,0.7564911703636699,False,-0.0655219780219781,0.0,2.0,0.5773809523809524,1.2513736263736266,0.46139773143066226
FRH0046,135,82,53,285.0,2.111111111111111,1.0,3.4676902430711056,3.475609756097561,1.249351101383522,1.646341463414634,0.3925925925925926,0.3981083687821525,0.0,0.7771692946790805,False,1.8902969842907922,0.0,5.754385964912281,1.204511278195489,1.197883597883598,1.0055328249953508
FRH0047,104,13,91,35.0,0.33653846153846156,0.0,0.9814846780585165,2.6923076923076925,0.19278911564625847,8.0,0.875,0.2564403800072763,0.3942307692307692,0.47531347962382625,False,-0.04755102040816339,0.0,1.857142857142857,0.8775510204081632,1.2513736263736266,0.7012701897443938
FRH0048,135,105,30,685.5,5.0777777777777775,5.0,4.202867614586258,6.5285714285714285,0.309622954596117,1.2857142857142858,0.2222222222222222,0.747230194355001,0.0,0.5620292282343292,False,1.0918989526274891,0.05017907549229788,2.603938730853392,1.134555937619395,1.197883597883598,0.9471337111752015
FRH0049,104,6,98,10.0,0.09615384615384616,0.0,0.4729422627219507,1.6666666666666667,0.5279999999999999,17.333333333333332,0.9423076923076923,0.14917940761359344,0.6153846153846154,0.1315345699831368,False,-0.10483516483516495,0.23569076981878398,2.4,0.7857142857142857,1.2513736263736266,0.6278814489571898
FRH0050,135,55,80,126.0,0.9333333333333333,0.0,1.7156000647264948,2.290909090909091,0.7880751752003958,2.4545454545454546,0.5925925925925926,0.8092855294473709,0.1259259259259259,0.34184176591064225,False,0.3072673513849983,0.045287283134011064,4.801587301587301,1.7448979591836733,1.197883597883598,1.4566506814740028
FRH0051,135,104,31,420.0,3.111111111111111,2.0,2.9056472720637894,4.038461538461538,0.441615921449486,1.2980769230769231,0.22962962962962963,0.788501568606629,0.0,0.55925195174389,False,0.7286150015561779,0.0,3.219047619047619,1.4551020408163264,1.197883597883598,1.2147274103987884
FRH0056,135,108,27,974.0,7.214814814814815,6.0,6.270500926436069,9.018518518518519,0.4035485087076398,1.25,0.2,0.7748735813361405,0.0,0.6328630185600012,False,1.3982848170068847,0.0,2.7720739219712525,1.1714579055441479,1.197883597883598,0.9779396826318194
FRH0056-1,135,11,124,14.0,0.1037037037037037,0.0,0.39159212091829004,1.2727272727272727,0.25816326530612255,12.272727272727273,0.9185185185185185,0.24375755260400622,0.05925925925925926,0.22093023255813934,False,0.3065826330532213,0.0,2.357142857142857,1.510204081632653,1.197883597883598,1.2607269056032304
FRH0059,135,60,75,304.0,2.251851851851852,0.0,4.088057814452512,5.066666666666666,0.9135992300107989,2.25,0.5555555555555556,0.336425781162077,0.0,0.8072586963133165,False,-0.3735810113519095,0.0,3.947368421052632,1.4976503759398496,1.197883597883598,1.2502470011158637
FRH0064,135,33,102,103.0,0.762962962962963,0.0,1.8576481978502362,3.121212121212121,0.704154491469507,4.090909090909091,0.7555555555555555,0.33773307437240496,0.014814814814814815,0.47599579865880265,False,0.674281363030649,0.0,3.203883495145631,1.540915395284327,1.197883597883598,1.2863648838725168
FRH0065,135,31,104,66.0,0.4888888888888889,0.0,1.1254628677422756,2.129032258064516,0.452142638506275,4.354838709677419,0.7703703703703704,0.41110824668687274,0.007407407407407408,0.5280028178936245,False,0.7125272331154684,0.0,3.287878787878788,1.352813852813853,1.197883597883598,1.1293366527465467
FRH0068,135,14,121,29.0,0.21481481481481482,0.0,0.9091999532571279,2.0714285714285716,1.020579895728528,9.642857142857142,0.8962962962962963,0.1504835576627106,0.17037037037037037,0.25941902001752437,False,0.30543159792652697,0.0048708667417285195,4.344827586206896,1.8669950738916254,1.197883597883598,1.5585780431339098
FRW00011,104,7,97,10.0,0.09615384615384616,0.0,0.4067209813669471,1.4285714285714286,0.3033333333333334,14.857142857142858,0.9326923076923077,0.2725975487195459,0.18269230769230768,0.06043329532497142,False,0.12846153846153846,0.25944698630712915,2.1,0.4,1.2513736263736266,0.319648737650933
FRW00023,30,7,23,9.0,0.3,0.0,0.651258728182957,1.2857142857142858,0.345679012345679,4.285714285714286,0.7666666666666667,0.2941426173945132,0.0,0.12645557842511873,False,0.8781362007168461,,2.333333333333333,1.507936507936508,1.0238095238095235,1.472868217054264
FRW0005,135,96,39,334.0,2.474074074074074,2.0,2.268636350320269,3.4791666666666665,0.30780669986846365,1.40625,0.28888888888888886,0.7450394007564991,0.007407407407407408,0.5493732803424034,False,0.8310907596571561,0.0,2.586826347305389,1.2245508982035929,1.197883597883598,1.0222620130763207
FRW0006,135,109,26,686.0,5.0814814814814815,4.0,4.740350531550166,6.293577981651376,0.5095172654188241,1.238532110091743,0.1925925925925926,0.6204351154235104,0.0,0.628727936234609,False,0.23086091579488915,0.007395280728198003,4.290087463556851,1.3995210329029573,1.197883597883598,1.1683280707537937
FRW0008,135,13,122,18.0,0.13333333333333333,0.0,0.45383934299896406,1.3846153846153846,0.22067901234567905,10.384615384615385,0.9037037037037037,0.22798735014956384,0.0,0.2159456479723024,False,0.4248366013071896,0.0,2.1666666666666665,1.753968253968254,1.197883597883598,1.4642226148409891
FRW0009,135,28,107,48.0,0.35555555555555557,0.0,0.8327858898351111,1.7142857142857142,0.34927983539094665,4.821428571428571,0.7925925925925926,0.4252129321133258,0.0,0.4010797037370395,False,0.6897058823529413,0.0,2.916666666666667,1.2827380952380953,1.197883597883598,1.0708370141342756
FRW0011,104,7,97,8.0,0.07692307692307693,0.0,0.30184892036318633,1.1428571428571428,0.10937500000000001,14.857142857142858,0.9326923076923077,0.17381031775535205,0.6057692307692307,0.36024844720496624,False,-0.12307692307692315,0.2955050714195203,1.75,0.9642857142857143,1.2513736263736266,0.770581778265642
FRW0013,104,11,93,29.0,0.27884615384615385,0.0,0.9599426638342218,2.6363636363636362,0.3819262782401903,9.454545454545455,0.8942307692307693,0.07247020645470181,0.6826923076923077,0.725839475839476,False,-0.2999052671466466,0.12251051845841579,2.2758620689655173,1.70935960591133,1.2513736263736266,1.3659866005526324
FRW0014,104,8,96,10.0,0.09615384615384616,0.0,0.3557906761394709,1.25,0.13714285714285715,13.0,0.9230769230769231,0.11730760265507789,0.6730769230769231,0.616244411326375,False,-0.19692307692307703,0.16848463966423352,1.6,1.7857142857142858,1.2513736263736266,1.4270032930845222
