horizon_label,horizon_weeks,origin_index,origin,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
30_day_proxy,4,3,2026-04-13,Profile_block_frequency,147,147,0.564625850340136,0.3239668709742751,-0.2406589793658609,0.26392412165409074,0.7366714119946988,0.7272213855421686,0.7186637707291752,0.0,0.0
30_day_proxy,4,3,2026-04-13,SKU_block_frequency,147,147,0.564625850340136,0.3791539604347486,-0.18547188990538743,0.2329408444577461,1.5167180550108577,0.7888742469879518,0.7792825929746787,0.14965986394557823,0.061224489795918366
30_day_proxy,4,4,2026-05-11,Overall_block_frequency,147,147,0.6190476190476191,0.3889585947302384,-0.23008902431738065,0.28876862351041716,0.7722093048906811,0.5,0.6190476190476191,0.0,0.0
30_day_proxy,4,4,2026-05-11,PXQ_independence,147,147,0.6190476190476191,0.52218856292517,-0.09685905612244905,0.2472394047951212,6.626632997795965,0.758339874411303,0.7987679855755264,0.43537414965986393,0.24489795918367346
30_day_proxy,4,4,2026-05-11,Profile_block_frequency,147,147,0.6190476190476191,0.3541837196462735,-0.2648638994013456,0.27920882464129426,0.7890174170829327,0.679160125588697,0.7228899633870608,0.0,0.0
30_day_proxy,4,4,2026-05-11,SKU_block_frequency,147,147,0.6190476190476191,0.38877551020408163,-0.23027210884353744,0.27593159486016633,1.8381856518296598,0.7181122448979592,0.7644982151424433,0.1360544217687075,0.047619047619047616
30_day_proxy,4,5,2026-06-08,Overall_block_frequency,147,147,0.6598639455782312,0.39910044977511244,-0.2607634958031188,0.2924411196476234,0.7793534855975907,0.5,0.6598639455782312,0.0,0.0
30_day_proxy,4,5,2026-06-08,PXQ_independence,147,147,0.6598639455782312,0.5580357142857143,-0.10182823129251695,0.20254454320790816,4.9162696385412366,0.8312371134020617,0.8932239065518051,0.38095238095238093,0.20408163265306123
30_day_proxy,4,5,2026-06-08,Profile_block_frequency,147,147,0.6598639455782312,0.36455256149412674,-0.2953113840841045,0.3051099446155855,0.8646723134085232,0.6245360824742268,0.7400696260400061,0.0,0.0
30_day_proxy,4,5,2026-06-08,SKU_block_frequency,147,147,0.6598639455782312,0.4016238753565943,-0.258240070221637,0.29823242512405584,2.7659951071957325,0.6615463917525773,0.7934335591148606,0.10884353741496598,0.047619047619047616
30_day_proxy,4,6,2026-07-06,Overall_block_frequency,147,147,0.6870748299319728,0.4101091326823663,-0.27696569724960646,0.29171300545888396,0.7775792196796741,0.5,0.6870748299319728,0.0,0.0
30_day_proxy,4,6,2026-07-06,PXQ_independence,147,147,0.6870748299319728,0.6183567176870748,-0.06871811224489799,0.14903643342102466,3.319294485163566,0.8706414119672836,0.9187197697244384,0.3401360544217687,0.23809523809523808
