horizon_label,horizon_weeks,cluster,cluster_profile,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
60_day_proxy,9,2,low_frequency_sparse,Profile_block_frequency,284,103,0.6584507042253521,0.31825648920719346,-0.34019421501815866,0.3464606249419312,0.8991244095752146,0.36468383042064056,0.6017396487754951,0.0,0.0
60_day_proxy,9,2,low_frequency_sparse,SKU_block_frequency,284,103,0.6584507042253521,0.31825648920719346,-0.34019421501815866,0.3593616199279755,0.9556299335904898,0.4608302552511164,0.6748290835904432,0.0,0.0
90_day_proxy,13,0,low_information,Overall_block_frequency,348,130,0.5344827586206896,0.2992933455433456,-0.23518941307734403,0.2928711296111033,0.7871124713762064,0.6337614496216647,0.6481255018255013,0.0,0.0
90_day_proxy,13,0,low_information,PXQ_independence,348,130,0.5344827586206896,0.2537074036930327,-0.28077535492765693,0.3400724655047347,10.093193152621414,0.66820987654321,0.6786274364665339,0.6867816091954023,0.0
90_day_proxy,13,0,low_information,Profile_block_frequency,348,130,0.5344827586206896,0.1151329593139938,-0.4193497993066958,0.4190777585263303,1.1982015522170997,0.6172673569626974,0.6128652622641866,0.0,0.0
90_day_proxy,13,0,low_information,SKU_block_frequency,348,130,0.5344827586206896,0.1151329593139938,-0.4193497993066958,0.44483951458936066,9.890509085745483,0.5131089871233241,0.5320082509648957,0.5373563218390804,0.0
90_day_proxy,13,1,relative_active_persistent,Overall_block_frequency,310,99,0.8290322580645161,0.3959489247311829,-0.43308333333333315,0.3188290231592573,0.8392247625585322,0.7033624550326701,0.9007513148166714,0.0,0.0
90_day_proxy,13,1,relative_active_persistent,PXQ_independence,310,99,0.8290322580645161,0.8691973181788281,0.04016506011431198,0.09927252466391777,1.6708359865617874,0.8716320387636738,0.9610532298090215,0.11290322580645161,0.24193548387096775
90_day_proxy,13,1,relative_active_persistent,Profile_block_frequency,310,99,0.8290322580645161,0.5413760880696366,-0.28765616999487953,0.23074850636698516,0.6544182126662296,0.37688128624917405,0.7966606206204172,0.0,0.0
90_day_proxy,13,1,relative_active_persistent,SKU_block_frequency,310,99,0.8290322580645161,0.5413760880696364,-0.28765616999487964,0.26408234126984126,0.8297938126148471,0.5206299096982601,0.8449319685233322,0.0,0.025806451612903226
90_day_proxy,13,2,low_frequency_sparse,Overall_block_frequency,227,100,0.6740088105726872,0.37365989737135114,-0.3003489132013361,0.30042729411322294,0.8013388513799005,0.6280250839074368,0.7435279933589476,0.0,0.0
90_day_proxy,13,2,low_frequency_sparse,PXQ_independence,227,100,0.6740088105726872,0.7529576452498625,0.07894883467717528,0.16429944415833858,1.8516693918197984,0.8309927574633457,0.8798692652371155,0.19823788546255505,0.013215859030837005
90_day_proxy,13,2,low_frequency_sparse,Profile_block_frequency,227,100,0.6740088105726872,0.45738409901405497,-0.21662471155863228,0.278135379512727,0.7502942614771352,0.4155184596361067,0.6303227631146072,0.0,0.0
90_day_proxy,13,2,low_frequency_sparse,SKU_block_frequency,227,100,0.6740088105726872,0.45738409901405497,-0.21662471155863228,0.32393810983358917,1.1407733455136662,0.40986574810104226,0.6557954223208885,0.0,0.03524229074889868
