horizon_label,horizon_weeks,approximate_days,origin_index,origin,sku,cluster,cluster_profile,actual_sum,actual_event,training_weeks,p_recent,pxq_independence_probability,complete_history_blocks,positive_history_blocks,sku_block_probability,overall_block_probability,profile_block_probability
30_day_proxy,4,28,1,2026-02-16,XYMLRY00001,0,low_information,4.0,1,6,0.5,0.9375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XYMZD0017,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,XYMZG0016,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,YDBZ001,1,relative_active_persistent,0.0,0,111,1.0,1.0,27,12,0.4444444444444444,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,YDBZ002,1,relative_active_persistent,3.0,1,111,1.0,1.0,27,13,0.48148148148148145,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,YEC0009,0,low_information,18.0,1,6,0.5,0.9375,1,1,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,YJLZHMV000AMDE,1,relative_active_persistent,3.0,1,111,0.25,0.68359375,27,19,0.7037037037037037,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,YXBLJ0001,2,low_frequency_sparse,0.0,0,111,0.5,0.9375,27,5,0.18518518518518517,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,ZBTZ0002,0,low_information,0.0,0,111,0.0,0.0,27,4,0.14814814814814814,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,ZBTZ0003,2,low_frequency_sparse,1.0,1,111,0.0,0.0,27,5,0.18518518518518517,0.35703703703703704,0.2374727668845316
30_day_proxy,4,28,1,2026-02-16,ZTD0001,1,relative_active_persistent,0.0,0,111,0.0,0.0,27,2,0.07407407407407407,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,ZTD0003,1,relative_active_persistent,1.0,1,111,0.0,0.0,27,5,0.18518518518518517,0.35703703703703704,0.44687310261080754
30_day_proxy,4,28,1,2026-02-16,ZTD0004,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
30_day_proxy,4,28,1,2026-02-16,xgx0013,0,low_information,0.0,0,6,0.0,0.0,1,0,,0.35703703703703704,0.07407407407407407
