horizon_label,horizon_weeks,method,bin_index,bin_lower,bin_upper,n_sku_origins,mean_probability,observed_event_rate,calibration_gap
90_day_proxy,13,EnterpriseShrink_L4,2,0.4,0.6,196,0.4917096334915599,0.6479591836734694,-0.1562495501819095
90_day_proxy,13,EnterpriseShrink_L4,3,0.6,0.8,185,0.6836361721894741,0.8162162162162162,-0.13258004402674206
90_day_proxy,13,EnterpriseShrink_L4,4,0.8,1.0,180,0.8765745776186885,0.9111111111111111,-0.03453653349242258
90_day_proxy,13,PXQ_independence,0,0.0,0.2,340,0.0,0.4,-0.4
90_day_proxy,13,PXQ_independence,3,0.6,0.8,81,0.6467415015288392,0.654320987654321,-0.00757948612548176
90_day_proxy,13,PXQ_independence,4,0.8,1.0,511,0.9815684794046412,0.8845401174168297,0.0970283619878115
90_day_proxy,13,ProfileShrink_L1,0,0.0,0.2,209,0.039632287837443755,0.5550239234449761,-0.5153916356075323
90_day_proxy,13,ProfileShrink_L1,1,0.2,0.4,172,0.2620936431814869,0.627906976744186,-0.36581333356269913
90_day_proxy,13,ProfileShrink_L1,2,0.4,0.6,187,0.5145325257609574,0.6096256684491979,-0.09509314268824043
90_day_proxy,13,ProfileShrink_L1,3,0.6,0.8,164,0.7335605498405415,0.774390243902439,-0.040829694061897515
90_day_proxy,13,ProfileShrink_L1,4,0.8,1.0,200,0.9569960096413055,0.88,0.07699600964130549
90_day_proxy,13,ProfileShrink_L4,0,0.0,0.2,252,0.0941016045238829,0.5119047619047619,-0.417803157380879
90_day_proxy,13,ProfileShrink_L4,1,0.2,0.4,122,0.2868166109216572,0.639344262295082,-0.3525276513734248
90_day_proxy,13,ProfileShrink_L4,2,0.4,0.6,153,0.5171769694698477,0.6535947712418301,-0.13641780177198237
90_day_proxy,13,ProfileShrink_L4,3,0.6,0.8,192,0.692350782085398,0.7760416666666666,-0.08369088458126861
90_day_proxy,13,ProfileShrink_L4,4,0.8,1.0,213,0.895080495063371,0.8685446009389671,0.026535894124403825
90_day_proxy,13,ProfileShrink_L8,0,0.0,0.2,252,0.10430478486782267,0.5119047619047619,-0.4075999770369392
90_day_proxy,13,ProfileShrink_L8,1,0.2,0.4,120,0.271960600434471,0.6833333333333333,-0.41137273289886234
90_day_proxy,13,ProfileShrink_L8,2,0.4,0.6,140,0.5319522058081306,0.6214285714285714,-0.08947636562044081
90_day_proxy,13,ProfileShrink_L8,3,0.6,0.8,213,0.6862206086151817,0.7464788732394366,-0.060258264624254876
90_day_proxy,13,ProfileShrink_L8,4,0.8,1.0,207,0.8786548802895455,0.8888888888888888,-0.010234008599343314
90_day_proxy,13,SKU_recent_block,0,0.0,0.2,209,0.0,0.5550239234449761,-0.5550239234449761
90_day_proxy,13,SKU_recent_block,1,0.2,0.4,172,0.25,0.627906976744186,-0.37790697674418605
90_day_proxy,13,SKU_recent_block,2,0.4,0.6,187,0.5,0.6096256684491979,-0.10962566844919786
90_day_proxy,13,SKU_recent_block,3,0.6,0.8,158,0.75,0.7658227848101266,-0.015822784810126556
90_day_proxy,13,SKU_recent_block,4,0.8,1.0,206,1.0,0.883495145631068,0.11650485436893199
