target_type,horizon_label,horizon_weeks,origin_index,origin,primary_method,baseline,primary_loss,baseline_loss,loss_difference,primary_better,n_sku_origins
probability,90_day_proxy,13,1,2025-02-03,ProfileShrink_L4,ProfileShrink_L8,0.29679891045878803,0.29732899168427795,-0.0005300812254899201,True,195
probability,90_day_proxy,13,2,2025-05-05,ProfileShrink_L4,EnterpriseShrink_L4,0.36166830988290305,0.3204740210545822,0.041194288828320824,False,195
probability,90_day_proxy,13,2,2025-05-05,ProfileShrink_L4,SKU_recent_block,0.36166830988290305,0.4060897435897436,-0.04442143370684054,True,195
probability,90_day_proxy,13,2,2025-05-05,ProfileShrink_L4,PXQ_independence,0.36166830988290305,0.2800708762560952,0.08159743362680782,False,195
probability,90_day_proxy,13,2,2025-05-05,ProfileShrink_L4,ProfileShrink_L1,0.36166830988290305,0.3853703130852074,-0.023702003202304367,True,195
probability,90_day_proxy,13,2,2025-05-05,ProfileShrink_L4,ProfileShrink_L8,0.36166830988290305,0.35232571535432666,0.009342594528576387,False,195
probability,90_day_proxy,13,3,2025-08-04,ProfileShrink_L4,EnterpriseShrink_L4,0.3074460394944186,0.27823468766947085,0.029211351824947773,False,195
probability,90_day_proxy,13,3,2025-08-04,ProfileShrink_L4,SKU_recent_block,0.3074460394944186,0.3423076923076923,-0.03486165281327369,True,195
probability,90_day_proxy,13,3,2025-08-04,ProfileShrink_L4,PXQ_independence,0.3074460394944186,0.20519277594683477,0.10225326354758385,False,195
probability,90_day_proxy,13,3,2025-08-04,ProfileShrink_L4,ProfileShrink_L1,0.3074460394944186,0.32558306701527684,-0.018137027520858218,True,195
probability,90_day_proxy,13,3,2025-08-04,ProfileShrink_L4,ProfileShrink_L8,0.3074460394944186,0.30097357034759775,0.0064724691468208695,False,195
probability,90_day_proxy,13,4,2025-11-03,ProfileShrink_L4,EnterpriseShrink_L4,0.21183114252034024,0.18775596877869602,0.024075173741644224,False,100
probability,90_day_proxy,13,4,2025-11-03,ProfileShrink_L4,SKU_recent_block,0.21183114252034024,0.25125,-0.03941885747965973,True,100
probability,90_day_proxy,13,4,2025-11-03,ProfileShrink_L4,PXQ_independence,0.21183114252034024,0.12954517616408953,0.08228596635625071,False,100
probability,90_day_proxy,13,4,2025-11-03,ProfileShrink_L4,ProfileShrink_L1,0.21183114252034024,0.23219712615989777,-0.020365983639557522,True,100
probability,90_day_proxy,13,4,2025-11-03,ProfileShrink_L4,ProfileShrink_L8,0.21183114252034024,0.20477546937570978,0.007055673144630459,False,100
probability,90_day_proxy,13,5,2026-02-02,ProfileShrink_L4,EnterpriseShrink_L4,0.1527330242248043,0.1534323453736152,-0.000699321148810883,True,147
probability,90_day_proxy,13,5,2026-02-02,ProfileShrink_L4,SKU_recent_block,0.09342379561046231,0.11625,-0.022826204389537696,True,100
probability,90_day_proxy,13,5,2026-02-02,ProfileShrink_L4,PXQ_independence,0.09342379561046231,0.13019118335239552,-0.03676738774193321,True,100
probability,90_day_proxy,13,5,2026-02-02,ProfileShrink_L4,ProfileShrink_L1,0.1527330242248043,0.16030528107484823,-0.007572256850043924,True,147
probability,90_day_proxy,13,5,2026-02-02,ProfileShrink_L4,ProfileShrink_L8,0.1527330242248043,0.15078768317421376,0.0019453410505905488,False,147
probability,90_day_proxy,13,6,2026-05-04,ProfileShrink_L4,EnterpriseShrink_L4,0.19784003595719177,0.11700601690841336,0.0808340190487784,False,147
probability,90_day_proxy,13,6,2026-05-04,ProfileShrink_L4,SKU_recent_block,0.19784003595719177,0.25595238095238093,-0.058112344995189164,True,147
probability,90_day_proxy,13,6,2026-05-04,ProfileShrink_L4,PXQ_independence,0.19784003595719177,0.2557679916924817,-0.05792795573528994,True,147
probability,90_day_proxy,13,6,2026-05-04,ProfileShrink_L4,ProfileShrink_L1,0.19784003595719177,0.21350862546776725,-0.01566858951057548,True,147
probability,90_day_proxy,13,6,2026-05-04,ProfileShrink_L4,ProfileShrink_L8,0.19784003595719177,0.19580776190172036,0.002032274055471406,False,147
expected_quantity,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,8.045050766412993,9.260320762906744,-1.2152699964937508,True,147
expected_quantity,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4_expected,SKU_recent_block_expected,8.045050766412993,7.662349555206699,0.3827012112062942,False,147
expected_quantity,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4_expected,PXQ,9.771420623944513,9.268411700169754,0.5030089237747593,False,115
expected_quantity,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4_expected,MA4_proxy,8.045050766412993,6.74165856818918,1.303392198223813,False,147
expected_quantity,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4_expected,Naive,8.045050766412993,6.925170068027211,1.1198806983857823,False,147
expected_quantity,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4_expected,SES,8.045050766412993,6.806614739830784,1.2384360265822094,False,147
