horizon_label,horizon_weeks,approximate_days,origin_index,origin,sku,cluster,cluster_profile,actual_sum,actual_event,training_weeks,lookback_weeks_used,complete_history_blocks,positive_history_blocks,positive_history_volume,all_history_volume,sku_recent_block_probability,sku_recent_block_conditional_quantity,sku_recent_block_expected_quantity,pxq_independence_probability,enterprise_peer_blocks,enterprise_peer_positive_blocks,enterprise_peer_positive_volume,profile_peer_blocks,profile_peer_positive_blocks,profile_peer_positive_volume,enterprise_reference_probability,enterprise_reference_conditional_quantity,profile_reference_probability,profile_probability_reference_source,profile_reference_conditional_quantity,profile_quantity_reference_source,profile_probability_l1,profile_conditional_quantity_l1,profile_expected_quantity_l1,profile_probability_l4,profile_conditional_quantity_l4,profile_expected_quantity_l4,profile_probability_l8,profile_conditional_quantity_l8,profile_expected_quantity_l8,enterprise_probability_l4,enterprise_conditional_quantity_l4,enterprise_expected_quantity_l4
30_day_proxy,4,28,5,2026-06-08,XHZXCZP0001,1,relative_active_persistent,41.0,1,127,52,13,13,466.0,466.0,1.0,35.84615384615385,35.84615384615385,1.0,1522,984,16206.25,901,729,15350.25,0.6465177398160316,16.4697662601626,0.8091009988901221,profile_leave_one_out,21.05658436213992,profile_leave_one_out,0.9863643570635802,34.789756025867135,34.31537533485325,0.9550825879741462,32.36625514403292,30.912446725994485,0.9272765710057608,30.21203213795806,28.014909564001595,0.9168277034861251,31.28700382592061,28.684791866680403
30_day_proxy,4,28,5,2026-06-08,XHZXCZP0002,1,relative_active_persistent,10.0,1,127,52,13,10,131.5,131.5,0.7692307692307693,13.15,10.115384615384615,1.0,1522,987,16540.75,901,732,15684.75,0.6484888304862023,16.758611955420466,0.8124306326304107,profile_leave_one_out,21.427254098360656,profile_leave_one_out,0.7723164737593151,13.902477645305515,10.737112511540062,0.7793954429718614,15.514929742388759,12.092265539246394,0.7856878600496803,16.828779599271403,13.222167830599265,0.7408209012908712,14.181031987262989,10.505604898038841
30_day_proxy,4,28,5,2026-06-08,XMJ0001,0,low_information,0.0,0,22,22,5,1,23.0,23.0,0.2,23.0,4.6,0.0,1530,996,16649.25,159,19,69.0,0.6509803921568628,16.716114457831324,0.11949685534591195,profile_leave_one_out,3.6315789473684212,profile_leave_one_out,0.18658280922431866,13.31578947368421,2.4844974070396115,0.16422082459818307,7.505263157894737,1.2325205046158372,0.15045960328979197,5.783625730994152,0.8702020330620132,0.40043572984749454,17.97289156626506,7.196987951807228
30_day_proxy,4,28,5,2026-06-08,XMJ0004,1,relative_active_persistent,21.0,1,22,22,5,2,30.0,30.0,0.4,15.0,6.0,0.0,1530,995,16642.25,909,740,15786.25,0.6503267973856209,16.725879396984926,0.8140814081408141,profile_leave_one_out,21.33277027027027,profile_leave_one_out,0.46901356802346905,17.110923423423426,8.025255246996172,0.5840361813959174,19.221846846846848,11.226254031809589,0.6548193280866548,20.066216216216215,13.139746219944238,0.5112563543936093,16.150586264656617,8.257089854987841
30_day_proxy,4,28,5,2026-06-08,XMSH0001,1,relative_active_persistent,22.0,1,22,22,5,4,75.0,75.0,0.8,18.75,15.0,1.0,1530,993,16597.25,909,738,15741.25,0.6490196078431373,16.714249748237663,0.8118811881188119,profile_leave_one_out,21.32960704607046,profile_leave_one_out,0.8019801980198019,19.265921409214094,15.45088746679546,0.8052805280528053,20.039803523035232,16.13766356310428,0.8073115003808073,20.46973803071364,16.525454921977502,0.7328976034858388,17.73212487411883,12.995831824953322
30_day_proxy,4,28,5,2026-06-08,XXGP0002,1,relative_active_persistent,0.0,0,22,22,5,2,51.0,51.0,0.4,25.5,10.2,0.0,1530,995,16621.25,909,740,15765.25,0.6503267973856209,16.704773869346734,0.8140814081408141,profile_leave_one_out,21.304391891891893,profile_leave_one_out,0.46901356802346905,24.101463963963965,11.303913608327802,0.5840361813959174,22.70292792792793,13.259331333533757,0.6548193280866548,22.143513513513515,14.50000064039668,0.5112563543936093,19.636515912897824,10.039293538620239
30_day_proxy,4,28,5,2026-06-08,XYJ0001,1,relative_active_persistent,6.0,1,22,22,5,3,34.0,34.0,0.6,11.333333333333334,6.8,0.0,1530,994,16638.25,909,739,15782.25,0.6496732026143791,16.738682092555333,0.812981298129813,profile_leave_one_out,21.35622462787551,profile_leave_one_out,0.6354968830216355,13.839056156968876,8.794677051715095,0.6946583547243613,17.060699787357432,11.851357644731975,0.7310654142337311,18.622708820273097,13.614418337847109,0.622076978939724,14.422104052888761,8.97165891917539
30_day_proxy,4,28,5,2026-06-08,XYMGPD0001,1,relative_active_persistent,3.0,1,22,22,5,4,34.0,34.0,0.8,8.5,6.8,0.68359375,1530,993,16638.25,909,738,15782.25,0.6490196078431373,16.7555387713998,0.8118811881188119,profile_leave_one_out,21.385162601626018,profile_leave_one_out,0.8019801980198019,11.077032520325204,8.883560734122193,0.8052805280528053,14.942581300813009,12.032969760390673,0.8073115003808073,17.090108401084013,13.797041054949775,0.7328976034858388,12.6277693856999,9.2548619201513
30_day_proxy,4,28,5,2026-06-08,XYMGPD0002,1,relative_active_persistent,0.0,0,22,22,5,3,20.0,20.0,0.6,6.666666666666667,4.0,0.0,1530,994,16652.25,909,739,15796.25,0.6496732026143791,16.752766599597585,0.812981298129813,profile_leave_one_out,21.375169147496617,profile_leave_one_out,0.6354968830216355,10.343792286874155,6.573447756931761,0.6946583547243613,15.071525227140924,10.469560917472421,0.7310654142337311,17.36375937999754,12.694043943792733,0.622076978939724,12.430152342627192,7.732511617062057
30_day_proxy,4,28,5,2026-06-08,XYMLRY00001,2,low_frequency_sparse,3.0,1,22,22,5,4,16.0,16.0,0.8,4.0,3.2,0.9375,1530,993,16656.25,452,231,748.0,0.6490196078431373,16.773665659617322,0.5110619469026548,profile_leave_one_out,3.238095238095238,profile_leave_one_out,0.7518436578171092,3.8476190476190473,2.8928079786486864,0.671583087512291,3.619047619047619,2.4304911738540054,0.6221919673247106,3.492063492063492,2.172733854149783,0.7328976034858388,10.386832829808661,7.612484888774801
