sku,week_start,week_end,sales,covered_days,fragment_count,source_sheets,source_periods,is_complete_week
XYMGPD0002,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XYMLRY00001,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XYMZD0017,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
XYMZG0016,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
YBB0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YDBZLV0001AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YDBZWV0001AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YEC0009,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
YJL0002,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YJX0022,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YJX0023,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YJX0024,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YJX0025,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YKLLW0004,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YKLLW0005,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
YKLLW0006,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
ZJJSJBV001AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
ZJJSJSV001AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
ZJJYZBV001AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
ZJJYZSJBV1AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
ZJJYZSJSV1AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
ZJJYZSJSV2AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
ZTD0004,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
xgx0013,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
xgx0014,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
xgx0015,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
xgx0016,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
xymzd0015,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
xymzd0016,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
zxy0002,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
