sku,start_week,end_week,length,pre_weeks,post_weeks,pre_positive_weeks,post_positive_weeks,pre_positive_share,post_positive_share,p_hat,p_zero,median_pre,median_post,corrected
FRH0028,2026-06-08,2026-06-22,3,12,5,1,2,0.08333333333333333,0.4,0.17647058823529413,0.5585182169753714,1.0,1.0,False
FRH0029,2024-06-17,2024-07-15,5,12,12,2,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.401877572016461,1.0,1.0,False
FRH0029,2024-07-29,2024-09-16,8,12,12,3,6,0.25,0.5,0.375,0.023283064365386963,1.0,1.0,False
FRH0029,2024-09-30,2024-10-28,5,12,12,2,7,0.16666666666666666,0.5833333333333334,0.375,0.095367431640625,1.0,1.0,False
FRH0029,2024-12-16,2024-12-30,3,12,12,6,9,0.5,0.75,0.625,0.052734375,1.0,1.0,False
FRH0029,2025-10-06,2025-10-13,2,12,10,1,5,0.08333333333333333,0.5,0.2727272727272727,0.5289256198347108,1.0,1.0,False
FRH0029,2025-10-27,2025-11-03,2,12,7,2,4,0.16666666666666666,0.5714285714285714,0.3157894736842105,0.46814404432132967,1.0,1.0,False
FRH0031,2025-01-27,2025-02-10,3,12,12,1,3,0.08333333333333333,0.25,0.16666666666666666,0.5787037037037038,1.0,2.0,False
FRH0031,2025-02-24,2025-03-03,2,12,12,2,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6944444444444445,1.5,1.5,False
FRH0033,2024-11-18,2024-12-09,4,12,12,12,10,1.0,0.8333333333333334,0.9166666666666666,4.8225308641975394e-05,6.0,10.0,True
FRH0033,2025-02-10,2025-02-17,2,12,12,8,9,0.6666666666666666,0.75,0.7083333333333334,0.08506944444444442,9.0,9.0,False
FRH0033,2025-04-28,2025-05-12,3,12,12,10,9,0.8333333333333334,0.75,0.7916666666666666,0.009042245370370376,8.0,2.0,True
FRH0033,2025-05-26,2025-06-09,3,12,12,9,12,0.75,1.0,0.875,0.001953125,7.0,4.0,True
FRH0033,2025-11-10,2025-12-01,4,12,12,12,6,1.0,0.5,0.75,0.00390625,4.0,5.0,False
FRH0033,2025-12-29,2026-02-02,6,12,12,8,7,0.6666666666666666,0.5833333333333334,0.625,0.002780914306640625,3.5,2.0,False
FRH0033,2026-03-16,2026-03-23,2,12,12,6,5,0.5,0.4166666666666667,0.4583333333333333,0.29340277777777785,5.0,2.0,False
FRH0033,2026-04-06,2026-04-13,2,12,12,6,6,0.5,0.5,0.5,0.25,3.5,2.5,False
FRH0033,2026-04-27,2026-05-11,3,12,11,7,8,0.5833333333333334,0.7272727272727273,0.6521739130434783,0.042081038875647236,2.0,3.0,False
FRH0034,2024-05-06,2024-05-20,3,12,12,1,9,0.08333333333333333,0.75,0.4166666666666667,0.1984953703703703,1.0,5.0,False
FRH0034,2024-09-02,2024-09-16,3,12,12,10,4,0.8333333333333334,0.3333333333333333,0.5833333333333334,0.07233796296296294,3.0,1.5,False
FRH0034,2024-10-21,2024-12-16,9,12,12,9,11,0.75,0.9166666666666666,0.8333333333333334,9.9229030127521e-08,3.0,2.0,True
FRH0034,2025-04-14,2025-05-05,4,12,12,11,3,0.9166666666666666,0.25,0.5833333333333334,0.030140817901234556,2.0,1.0,False
FRH0034,2025-05-19,2025-07-07,8,12,12,8,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.00015241579027587272,2.0,1.0,False
FRH0034,2025-08-11,2025-08-18,2,12,12,3,9,0.25,0.75,0.5,0.25,2.0,1.0,False
FRH0034,2025-11-10,2025-11-17,2,12,12,9,7,0.75,0.5833333333333334,0.6666666666666666,0.11111111111111113,1.0,3.0,False
FRH0034,2025-12-08,2025-12-22,3,12,12,9,5,0.75,0.4166666666666667,0.5833333333333334,0.07233796296296294,1.0,4.0,False
FRH0034,2026-01-26,2026-02-02,2,12,12,7,1,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.44444444444444453,3.0,1.0,False
FRH0037,2024-10-21,2024-10-28,2,12,12,9,1,0.75,0.08333333333333333,0.4166666666666667,0.3402777777777777,1.0,1.0,False
FRH0040,2024-05-20,2024-05-27,2,12,12,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8402777777777777,1.0,1.0,False
FRH0040,2024-09-16,2024-09-23,2,12,12,1,9,0.08333333333333333,0.75,0.4166666666666667,0.3402777777777777,2.0,3.0,False
FRH0040,2024-10-28,2024-11-04,2,12,12,4,10,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.17361111111111108,2.5,3.5,False
FRH0042,2024-12-09,2025-02-17,11,12,12,2,7,0.16666666666666666,0.5833333333333334,0.375,0.0056843418860808015,1.0,2.0,False
FRH0042,2025-03-10,2025-03-24,3,12,12,2,5,0.16666666666666666,0.4166666666666667,0.2916666666666667,0.3553964120370369,1.5,2.0,False
FRH0043,2025-01-20,2025-04-07,12,12,12,3,1,0.25,0.08333333333333333,0.16666666666666666,0.11215665478461515,1.0,1.0,False
FRH0043,2025-09-01,2025-09-22,4,12,12,2,3,0.16666666666666666,0.25,0.20833333333333334,0.39279815297067894,1.0,1.0,False
FRH0043,2026-02-09,2026-04-13,10,12,12,2,1,0.16666666666666666,0.08333333333333333,0.125,0.2630755761638284,2.5,1.0,False
FRH0044,2024-07-22,2024-09-16,9,12,12,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.45698605951046484,2.0,1.0,False
FRH0044,2025-02-10,2025-03-10,5,12,12,4,6,0.3333333333333333,0.5,0.4166666666666667,0.06754356352880654,1.5,1.0,False
FRH0044,2025-03-31,2025-04-21,4,12,12,6,6,0.5,0.5,0.5,0.0625,1.5,1.0,False
FRH0044,2025-06-16,2025-06-30,3,12,12,6,3,0.5,0.25,0.375,0.244140625,1.0,1.0,False
FRH0044,2025-07-14,2025-08-04,4,12,12,6,4,0.5,0.3333333333333333,0.4166666666666667,0.11578896604938266,1.0,1.0,False
