full_cluster,sku,horizon_weeks,planned,ma4_available,quantity_available,mase_available
1,XYMZG0016,9,6,2,0,0
1,XYMZG0016,13,6,2,0,0
1,YBB0001,4,6,6,5,5
1,YBB0001,9,6,6,2,2
1,YBB0001,13,6,6,1,1
1,YDBZ001,4,6,6,6,6
1,YDBZ001,9,6,6,6,6
1,YDBZ001,13,6,6,6,6
1,YDBZ002,4,6,6,6,6
1,YDBZ002,9,6,6,6,6
1,YDBZ002,13,6,6,6,6
1,YEC0009,4,6,6,6,5
1,YEC0009,9,6,2,2,1
1,YEC0009,13,6,2,1,0
1,YJLZHMV000AMDE,4,6,6,6,6
1,YJLZHMV000AMDE,9,6,6,6,6
1,YJLZHMV000AMDE,13,6,6,6,6
1,YKLLW0005,4,6,6,6,6
1,YKLLW0005,9,6,6,3,3
1,YKLLW0005,13,6,6,2,2
1,ZBTZ0002,4,6,6,6,6
1,ZBTZ0002,9,6,6,6,6
1,ZBTZ0002,13,6,6,4,4
1,ZJJSJSV001AMDE,4,6,6,6,6
1,ZJJSJSV001AMDE,9,6,6,6,6
1,ZJJSJSV001AMDE,13,6,6,5,5
1,ZJJYZBV001AMDE,4,6,6,6,6
1,ZJJYZBV001AMDE,9,6,6,6,6
1,ZJJYZBV001AMDE,13,6,6,5,5
1,ZJJYZSJSV1AMDE,4,6,6,2,2
1,ZJJYZSJSV1AMDE,9,6,6,4,4
1,ZJJYZSJSV1AMDE,13,6,6,4,4
1,ZTD0001,4,6,6,6,6
1,ZTD0001,9,6,6,3,3
1,ZTD0001,13,6,6,2,2
1,ZTD0003,4,6,6,6,6
1,ZTD0003,9,6,6,5,5
1,ZTD0003,13,6,6,3,3
1,xgx0014,4,6,6,6,4
1,xgx0014,9,6,2,2,1
1,xgx0014,13,6,2,1,0
1,xgx0015,4,6,6,6,5
1,xgx0015,9,6,2,2,1
1,xgx0015,13,6,2,1,0
1,xgx0016,4,6,6,6,5
1,xgx0016,9,6,2,2,1
1,xgx0016,13,6,2,1,0
1,xymzd0015,4,6,6,6,5
1,xymzd0015,9,6,2,2,1
1,xymzd0015,13,6,2,1,0
2,BLJZ0001,4,6,6,3,3
2,BLJZ0001,9,6,6,1,1
2,BLJZ0001,13,6,6,1,1
2,BLP0003,4,6,6,6,6
2,BLP0003,9,6,6,4,4
2,BLP0003,13,6,6,3,3
2,BLP0004,4,6,6,6,6
2,BLP0004,9,6,6,4,4
2,BLP0004,13,6,6,2,2
2,CLSSLT0003,4,6,6,6,6
2,CLSSLT0003,9,6,6,6,6
2,CLSSLT0003,13,6,6,5,5
2,CLSSLT0006,4,6,6,6,6
2,CLSSLT0006,9,6,6,6,6
2,CLSSLT0006,13,6,6,4,4
2,DRMJJ0020,4,6,6,5,5
2,DRMJJ0020,9,6,6,2,2
2,DRMJJ0020,13,6,6,1,1
2,DRMJJ0021,4,6,6,6,6
2,DRMJJ0021,9,6,6,6,6
2,DRMJJ0021,13,6,6,4,4
2,DRMJJ0025,4,6,6,6,6
2,DRMJJ0025,9,6,6,6,6
2,DRMJJ0025,13,6,6,5,5
2,DRMJJ0026,4,6,6,6,6
2,DRMJJ0026,9,6,6,5,5
2,DRMJJ0026,13,6,6,3,3
2,DRMJJ0027,4,6,6,6,6
2,DRMJJ0027,9,6,6,5,5
2,DRMJJ0027,13,6,6,3,3
2,DRMJJ0038,4,6,6,5,5
2,DRMJJ0038,9,6,2,2,1
2,DRMJJ0038,13,6,2,1,0
2,DRMJJ0039,4,6,6,6,4
2,DRMJJ0039,9,6,2,2,1
2,DRMJJ0039,13,6,2,1,0
2,FRC0010,4,6,6,6,6
2,FRC0010,9,6,6,6,6
2,FRC0010,13,6,6,5,5
2,FRH0028,4,6,6,6,6
2,FRH0028,9,6,6,6,6
2,FRH0028,13,6,6,6,6
2,FRH0029,4,6,6,6,6
2,FRH0029,9,6,6,6,6
2,FRH0029,13,6,6,6,6
2,FRH0031,4,6,6,6,6
2,FRH0031,9,6,6,6,6
2,FRH0031,13,6,6,6,6
2,FRH0035,4,6,6,3,3
2,FRH0035,9,6,6,4,4
2,FRH0035,13,6,6,6,6
2,FRH0037,4,6,6,5,5
2,FRH0037,9,6,6,5,5
2,FRH0037,13,6,6,5,5
2,FRH0042,4,6,6,6,6
2,FRH0042,9,6,6,6,6
2,FRH0042,13,6,6,5,5
2,FRH0043,4,6,6,6,6
2,FRH0043,9,6,6,6,6
2,FRH0043,13,6,6,6,6
2,FRH0044,4,6,6,6,6
2,FRH0044,9,6,6,6,6
2,FRH0044,13,6,6,6,6
2,FRH0047,4,6,6,6,6
2,FRH0047,9,6,6,6,6
2,FRH0047,13,6,6,6,6
2,FRH0049,4,6,6,3,3
2,FRH0049,9,6,6,4,4
