cohort,horizon_weeks,method,bin,n,n_skus,mean_probability,actual_rate
active120,13,BlockFrequency,0,136,68,0.0,0.49264705882352944
active120,13,BlockFrequency,1,82,73,0.25609756097560976,0.8414634146341463
active120,13,BlockFrequency,2,101,79,0.5,0.7722772277227723
active120,13,BlockFrequency,3,107,81,0.7445482866043612,0.8130841121495327
active120,13,BlockFrequency,4,174,87,1.0,0.9080459770114943
active120,13,EnterpriseFrequency,0,60,30,0.09706471935853374,0.5333333333333333
active120,13,EnterpriseFrequency,1,222,96,0.303473576669453,0.6531531531531531
active120,13,EnterpriseFrequency,2,162,96,0.4874315896652667,0.8395061728395061
active120,13,EnterpriseFrequency,3,66,66,0.7692837465564737,0.9848484848484849
active120,13,EnterpriseFrequency,4,90,90,0.8495556185405259,0.9
active120,13,Laplace,0,91,50,0.16666666666666657,0.5164835164835165
active120,13,Laplace,1,121,78,0.29876033057851237,0.7024793388429752
active120,13,Laplace,2,107,81,0.494392523364486,0.7663551401869159
active120,13,Laplace,3,126,100,0.6629629629629632,0.8333333333333334
active120,13,Laplace,4,155,68,0.833333333333333,0.9032258064516129
sparse77,4,BlockFrequency,0,115,28,0.08049052396878478,0.2
sparse77,4,BlockFrequency,1,172,48,0.31728533094812156,0.28488372093023256
sparse77,4,BlockFrequency,2,96,31,0.49415064102564105,0.3645833333333333
sparse77,4,BlockFrequency,3,57,19,0.6616734143049933,0.45614035087719296
sparse77,4,BlockFrequency,4,22,6,0.9043123543123545,0.7272727272727273
sparse77,4,EnterpriseFrequency,1,210,35,0.33063517238774964,0.15714285714285714
sparse77,4,EnterpriseFrequency,2,8,8,0.5990077490972197,1.0
sparse77,4,EnterpriseFrequency,3,244,42,0.6373193849640828,0.4426229508196721
sparse77,4,Laplace,0,49,18,0.10242954324586974,0.20408163265306123
sparse77,4,Laplace,1,172,53,0.2728959025470653,0.26744186046511625
sparse77,4,Laplace,2,163,42,0.4570552147239264,0.3128834355828221
sparse77,4,Laplace,3,63,19,0.6460884353741495,0.49206349206349204
sparse77,4,Laplace,4,15,5,0.8288888888888891,0.7333333333333333
sparse77,9,BlockFrequency,0,75,42,0.0,0.4266666666666667
sparse77,9,BlockFrequency,1,72,53,0.19999999999999998,0.5833333333333334
sparse77,9,BlockFrequency,2,94,63,0.403191489361702,0.48936170212765956
sparse77,9,BlockFrequency,3,77,49,0.6000000000000001,0.5974025974025974
sparse77,9,BlockFrequency,4,112,44,0.8642857142857144,0.5982142857142857
sparse77,9,EnterpriseFrequency,0,35,35,0.18103092783505154,0.42857142857142855
sparse77,9,EnterpriseFrequency,1,139,69,0.33241118445449824,0.48201438848920863
sparse77,9,EnterpriseFrequency,2,138,69,0.45222620648438666,0.4782608695652174
sparse77,9,EnterpriseFrequency,3,75,42,0.7721188315579459,0.7866666666666666
sparse77,9,EnterpriseFrequency,4,43,42,0.8034249005652914,0.6046511627906976
sparse77,9,Laplace,0,68,37,0.14285714285714277,0.39705882352941174
sparse77,9,Laplace,1,79,58,0.28782399035563583,0.5949367088607594
sparse77,9,Laplace,2,171,66,0.4941520467836256,0.5380116959064327
sparse77,9,Laplace,3,82,43,0.7138501742160279,0.5853658536585366
sparse77,9,Laplace,4,30,16,0.8571428571428572,0.6333333333333333
sparse77,13,BlockFrequency,0,146,65,0.0,0.4315068493150685
sparse77,13,BlockFrequency,1,82,65,0.26016260162601623,0.6951219512195121
sparse77,13,BlockFrequency,2,90,61,0.5,0.5666666666666667
sparse77,13,BlockFrequency,3,74,48,0.7432432432432432,0.6081081081081081
sparse77,13,BlockFrequency,4,30,21,1.0,0.7666666666666667
sparse77,13,EnterpriseFrequency,0,70,35,0.09714040255277362,0.5285714285714286
sparse77,13,EnterpriseFrequency,1,173,69,0.30317025207079434,0.43352601156069365
sparse77,13,EnterpriseFrequency,2,103,69,0.4872009808827946,0.6310679611650486
sparse77,13,EnterpriseFrequency,3,34,34,0.7713903743315508,0.8529411764705882
sparse77,13,EnterpriseFrequency,4,42,42,0.850778161632609,0.7857142857142857
sparse77,13,Laplace,0,95,44,0.16666666666666655,0.4421052631578947
sparse77,13,Laplace,1,123,68,0.2937669376693768,0.5528455284552846
sparse77,13,Laplace,2,100,61,0.49,0.61
sparse77,13,Laplace,3,78,52,0.6615384615384614,0.6153846153846154
