horizon_weeks,sku,origin,full_cluster,calendar_group,dynamic_cluster,tail_rank,actual_sum,mase_52_model,forecast_sum_model,mase_52_ma4,forecast_sum_ma4,method,metric,cohort,delta,ae_model,ae_ma4
4,ZJJYZSJSV1AMDE,2025-08-11,1,only_2024_2025,2,5,0.0,0.9230769230769232,2.307692307692308,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9230769230769232,,
4,QCCXC0005,2025-08-11,1,only_2024_2025,1,5,19.0,1.5774099318403116,8.615384615384615,0.9113924050632912,25.0,BlockFrequencyMean,mase_52,active120,0.6660175267770204,,
4,QCSSXC0005,2025-08-11,1,only_2024_2025,1,5,17.0,5.415384615384616,3.4615384615384617,0.4,18.0,BlockFrequencyMean,mase_52,active120,5.015384615384615,,
4,YKLLW0005,2025-08-11,1,only_2024_2025,1,5,0.0,0.5027472527472527,4.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5027472527472527,,
4,FRH0045,2025-08-11,1,only_2024_2025,2,5,0.0,0.7639257294429709,7.384615384615385,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.7639257294429709,,
4,FRH0001,2025-08-11,1,only_2024_2025,1,5,0.0,2.7141216991963257,9.092307692307692,0.0,0.0,BlockFrequencyMean,mase_52,active120,2.7141216991963257,,
4,FRH0003,2025-08-11,1,only_2024_2025,1,5,0.0,2.242990654205608,20.0,0.0,0.0,BlockFrequencyMean,mase_52,active120,2.242990654205608,,
4,GJMJSLW001,2025-08-11,1,only_2024_2025,1,5,0.0,0.5792462570986061,14.384615384615383,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5792462570986061,,
4,JZJ0008,2025-08-11,1,only_2024_2025,1,5,18.0,1.064102564102564,11.615384615384617,1.0,24.0,BlockFrequencyMean,mase_52,active120,0.0641025641025641,,
4,JZQCQ001,2025-08-11,1,only_2024_2025,1,5,0.0,1.688004303388919,40.23076923076923,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.688004303388919,,
4,JZQCQ003,2025-08-11,1,only_2024_2025,1,5,0.0,1.117408906882591,38.92307692307692,0.0574162679425837,2.0,BlockFrequencyMean,mase_52,active120,1.0599926389400074,,
4,QCCXC0007,2025-08-11,1,only_2024_2025,1,5,10.0,0.5972850678733033,17.615384615384617,2.431372549019608,41.0,BlockFrequencyMean,mase_52,active120,-1.8340874811463048,,
4,QCXDS001,2025-08-11,1,only_2024_2025,1,5,0.0,0.5934065934065933,10.384615384615383,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5934065934065933,,
