cohort,horizon_weeks,method,metric,n_pairs,n_skus,delta,ci_low,ci_high,pair_win_share,pair_tie_share,mean_model,median_model,bias_model,under_units_model,over_units_model,mase_lt1_model,mean_ma4,median_ma4,bias_ma4,under_units_ma4,over_units_ma4,mase_lt1_ma4,rmsse_model,rmsse_ma4
active120,13,BlockFrequencyMean,mase_full,445,96,1.014963661974082,0.4443744882955943,1.716803290265862,0.3887640449438202,0.0044943820224719105,7.293992994496954,1.2310177705977383,-0.2615052778894398,11486.1125,5631.270833333333,,6.279029332522872,1.1470588235294117,0.025716683788169787,6888.416666666666,7464.1875,,,
active120,13,BlockFrequencyMean,ae,464,115,2.846763285024155,-2.3486916515700487,8.044132699275362,0.39655172413793105,0.004310344827586207,35.18283514492754,18.25,-0.25369690518602195,11708.1125,5868.770833333334,,32.33607185990338,16.75,0.03599603915946185,7096.416666666666,7924.9375,,,
active120,13,BlockFrequencyMean,scaled_squared_error,445,96,11.975866889231781,4.4431685218183175,23.486226397152162,0.3887640449438202,0.0044943820224719105,85.40852496882208,0.6081309313173556,-0.2615052778894398,11486.1125,5631.270833333333,,73.43265807959031,0.4716157205240175,0.025716683788169787,6888.416666666666,7464.1875,,9.241673277541361,8.5692857391728
active120,13,MatchedHistoryMean,mase_52,445,96,0.6943301536983331,0.36940766903256395,1.0675851231652216,0.3887640449438202,0.0044943820224719105,4.460361475151154,0.9619565217391304,-0.2615052778894398,11486.1125,5631.270833333334,0.5191011235955056,3.7660313214528216,0.8482758620689654,0.025716683788169787,6888.416666666666,7464.1875,0.5258426966292135,,
active120,13,MatchedHistoryMean,mase_full,448,96,1.0138677769070081,0.4431831614541852,1.716737708329285,0.3861607142857143,0.011160714285714286,7.290215886797149,1.2184345790429014,-0.2615052778894398,11486.1125,5631.270833333334,,6.276348109890141,1.1335349355403468,0.025716683788169787,6888.416666666666,7464.1875,,,
active120,13,MatchedHistoryMean,ae,600,120,2.0962210648148147,-2.009013310185185,6.2650701678240726,0.30666666666666664,0.23,31.229699074074073,15.75,-0.3071569260140631,13484.1125,5868.770833333333,,29.13347800925926,12.0,-0.03821559176649322,8872.416666666666,7924.9375,,,
active120,13,MatchedHistoryMean,scaled_squared_error,445,96,11.975866889231781,4.4431685218183175,23.486226397152162,0.3887640449438202,0.0044943820224719105,85.40852496882208,0.6081309313173556,-0.2615052778894398,11486.1125,5631.270833333334,,73.43265807959031,0.4716157205240175,0.025716683788169787,6888.416666666666,7464.1875,,9.241673277541361,8.5692857391728
active120,13,LaplaceMean,mase_52,445,96,0.6410425229254458,0.3284524290717349,1.0112298305991738,0.4067415730337079,0.0022471910112359553,4.407073844378267,0.95,-0.3437083438791867,12302.519444444444,4607.233333333334,0.5258426966292135,3.7660313214528216,0.8482758620689654,0.025716683788169787,6888.416666666666,7464.1875,0.5258426966292135,,
active120,13,LaplaceMean,mase_full,445,96,0.9405514583294826,0.3673882728393313,1.6467178795024313,0.4067415730337079,0.0022471910112359553,7.219580790852355,1.2251082251082253,-0.3437083438791867,12302.519444444444,4607.233333333334,,6.279029332522872,1.1470588235294117,0.025716683788169787,6888.416666666666,7464.1875,,,
active120,13,LaplaceMean,ae,464,115,2.5101188607085345,-2.5991311594202906,7.56575464724235,0.41810344827586204,0.0021551724137931034,34.846190720611915,18.625,-0.3429763266764179,12635.852777777778,4741.566666666667,,32.33607185990338,16.75,0.03599603915946185,7096.416666666666,7924.9375,,,
