cohort,horizon_weeks,method,scope,n,n_skus,mean_probability,actual_rate,gap,brier,ece,auc,ma4_score_auc
active120,9,Laplace,ma4_zero,203,77,0.48354978354978356,0.5569264069264069,-0.0733766233766234,0.3231299879259063,0.23138528138528142,0.47907215796067926,0.5
active120,13,BlockFrequency,all,600,120,0.5835648148148148,0.7972222222222222,-0.21365740740740738,0.269945987654321,0.27199074074074076,0.7067204429382827,0.8326213545892776
active120,13,BlockFrequency,ma4_zero,240,92,0.30692934782608694,0.5733695652173914,-0.26644021739130436,0.4886813103864734,0.4589221014492753,0.4677823728881777,0.5
active120,13,EnterpriseFrequency,all,600,120,0.5297511328213071,0.7972222222222222,-0.2674710894009151,0.22675013083183077,0.2674710894009151,0.7432342131640467,0.8326213545892776
active120,13,EnterpriseFrequency,ma4_zero,240,92,0.41017293447070613,0.5733695652173914,-0.16319663074668514,0.2833562107382026,0.22400946389161483,0.6036760212381307,0.5
active120,13,Laplace,all,600,120,0.539699074074074,0.7972222222222222,-0.25752314814814814,0.22579128086419759,0.25752314814814814,0.7033435158226322,0.8326213545892776
active120,13,Laplace,ma4_zero,240,92,0.38261171497584534,0.5733695652173914,-0.1907578502415459,0.3547385768921095,0.3054438405797102,0.4661207541347608,0.5
sparse77,4,BlockFrequency,all,462,77,0.36553724053724046,0.32251082251082247,0.043026418026418004,0.22154052144436756,0.10252247752247749,0.6367154834144542,0.7244569762205961
sparse77,4,BlockFrequency,ma4_zero,304,75,0.33714529914529917,0.2648888888888889,0.07225641025641022,0.21820887573964498,0.14018803418803416,0.6043252122168749,0.5
sparse77,4,EnterpriseFrequency,all,462,77,0.4972540652065832,0.32251082251082247,0.1747432426957606,0.22893755714450925,0.1886304202162032,0.6525183866886788,0.7244569762205961
sparse77,4,EnterpriseFrequency,ma4_zero,304,75,0.4955251089796445,0.2648888888888889,0.23063622009075563,0.23271325615450517,0.2413108827594213,0.6198230291828631,0.5
sparse77,4,Laplace,all,462,77,0.38873170480313335,0.32251082251082247,0.06622088229231085,0.21502263585809506,0.08778344671201814,0.6367476467182687,0.7244569762205961
sparse77,4,Laplace,ma4_zero,304,75,0.3697783068783069,0.2648888888888889,0.10488941798941798,0.2114572404887881,0.1404026455026455,0.6080547310567015,0.5
sparse77,9,BlockFrequency,all,430,77,0.45519480519480515,0.5562770562770563,-0.10108225108225108,0.33170995670995673,0.24826839826839822,0.5538863054000203,0.7196260795292784
sparse77,9,BlockFrequency,ma4_zero,262,72,0.38134259259259257,0.45694444444444443,-0.07560185185185182,0.39360185185185187,0.3301388888888889,0.44309916380983483,0.5
sparse77,9,EnterpriseFrequency,all,430,77,0.5043341708271669,0.5562770562770563,-0.05194288544988937,0.24698250807107086,0.09267343614596733,0.6198158868748239,0.7196260795292784
sparse77,9,EnterpriseFrequency,ma4_zero,262,72,0.49111251726094224,0.45694444444444443,0.034168072816497835,0.24291013233515932,0.07348460584437111,0.6333262722295209,0.5
sparse77,9,Laplace,all,430,77,0.4697742733457019,0.5562770562770563,-0.0865027829313544,0.2797002458992255,0.16334260977118123,0.5520356837809637,0.7196260795292784
sparse77,9,Laplace,ma4_zero,262,72,0.4258267195767195,0.45694444444444443,-0.031117724867724905,0.31249606324011087,0.24103835978835983,0.4609333094940105,0.5
sparse77,13,BlockFrequency,all,422,77,0.3708513708513708,0.5930735930735931,-0.2222222222222222,0.3658609908609908,0.31746031746031744,0.5762929026246331,0.6759589998446968
sparse77,13,BlockFrequency,ma4_zero,291,73,0.29988584474885843,0.4913242009132419,-0.19143835616438357,0.388898401826484,0.33504566210045666,0.5158797628025871,0.5
sparse77,13,EnterpriseFrequency,all,422,77,0.44464461639215064,0.5930735930735931,-0.14842897668144242,0.25370483038708563,0.15608506857768256,0.6654954185432546,0.6759589998446968
sparse77,13,EnterpriseFrequency,ma4_zero,291,73,0.4207180523748404,0.4913242009132419,-0.07060614853840158,0.22629032840089786,0.07554403307816902,0.6859651662183897,0.5
sparse77,13,Laplace,all,422,77,0.4204184704184704,0.5930735930735931,-0.17265512265512267,0.2817893217893218,0.18823953823953826,0.5952399440906995,0.6759589998446968
sparse77,13,Laplace,ma4_zero,291,73,0.3823021308980213,0.4913242009132419,-0.10902207001522073,0.29118080923389145,0.18964611872146125,0.5407255494450489,0.5
