sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,actual_sum,actual_event,training_weeks,training_start,training_last_week,dynamic_cluster,label_source,old_case_available,n,s,probability,laplace_probability,conditional_mean,scale_52,square_scale_52,scale_full,full_n,legacy_week_probability,legacy_positive_week_mean,tail4_identity,block_totals,full_block_totals,enterprise_probability,ma4_forecast,train_values,test_values
LRKF0001,1,only_2024_2025,13,91,2024-07-01,6,1,2.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
QCSSXC0006,1,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SPH0001,1,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FRH0004,1,only_2024_2025,13,91,2024-07-01,6,1,41.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,1,0.5,0.5,6.0,6.0,36.0,6.0,2,0.3076923076923077,1.5,13.0,"[0.0, 6.0]","[0.0, 6.0]",0.059278350515463915,13.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 2.0, 0.0, 1.0]","[3, 0, 1, 2, 1, 0, 4, 5, 6, 2, 7, 4, 6]"
FRC0002,1,only_2024_2025,13,91,2024-07-01,6,1,39.0,1,26,2024-01-01,2024-06-24,2,new_origin_training_only,False,2,1,0.5,0.5,17.0,17.0,289.0,17.0,2,0.38461538461538464,3.4,19.5,"[0.0, 17.0]","[0.0, 17.0]",0.059278350515463915,19.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 5.0, 2.0, 5.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 3, 4, 9, 9, 6, 2, 2, 4]"
JZQCQ004,1,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FRH0040,1,only_2024_2025,13,91,2024-07-01,6,1,2.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,1,0.5,0.5,2.0,2.0,4.0,2.0,2,0.15384615384615385,1.0,3.25,"[0.0, 2.0]","[0.0, 2.0]",0.059278350515463915,3.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
WSJZS0004,1,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ZJJSJSV001AMDE,1,only_2024_2025,13,91,2024-07-01,6,1,24.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 1, 2, 3, 2, 3, 2, 4, 1, 3, 2, 1]"
ZJJYZSJSV1AMDE,1,only_2024_2025,13,91,2024-07-01,6,1,58.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 3, 7, 4, 2, 12, 14, 9, 5, 2, 0, 0, 0]"
