sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,training_weeks,complete_future_weeks,eligibility
FRW0011,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
FRW0020,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
FRW0023,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
GJMJSLW001,1,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
HSAKSLT0001,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
JZJ0008,1,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
JZQCQ001,1,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
JZQCQ003,1,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
KFZ0001,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
LTKF0005A,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
LTKF0024A,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
QCCXC0007,1,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
QCXDS001,1,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
QCXXC0002,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
YDBZLV0001AMDE,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
YDBZWV0001AMDE,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
YJX0025,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
ZJJYZBV001AMDE,1,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
ZJJYZSJSV2AMDE,2,only_2024_2025,13,91,2024-12-30,4,3,52,13,eligible
HWZDSKL0002,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
XYMGPD0002,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
QFDNZGJK001,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
DRMJJ0026,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
QFSJZ003-1,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FDBLHP0001,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRH0068,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
XGX9992,2,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
DRMJJ0022,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRH0065,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
XGX9993,2,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
JZJ0018,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
xgx0014,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
FRH0034,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
xgx0015,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
