full_cluster,horizon_weeks,dimension,layer,metric,n,n_skus,mean_model,mean_ma4,delta,ci_low,ci_high,pair_win_share,pair_tie_share
1,13,tail_rank,1,ae,112,112,31.758370535714285,35.645089285714285,-3.88671875,-14.979854910714286,5.979059709821426,0.41964285714285715,0.0
1,13,tail_rank,1,mase_52,93,93,2.1273272154096343,1.8980192121430361,0.22930800326659814,-0.10633396622693116,0.6185841358995273,0.3870967741935484,0.0
1,13,tail_rank,2,ae,92,92,39.68138586956522,30.047327898550723,9.634057971014494,1.6833050271739134,18.81340579710145,0.3804347826086957,0.0
1,13,tail_rank,2,mase_52,92,92,2.0159080495733623,1.7248863401893961,0.29102170938396543,-0.051199773756090895,0.642291730513559,0.3804347826086957,0.0
1,13,tail_rank,3,ae,89,89,31.78520599250936,23.424157303370787,8.361048689138576,0.7325140449438202,16.604838483146068,0.3707865168539326,0.02247191011235955
1,13,tail_rank,3,mase_52,89,89,3.4043527221361343,3.258221458730536,0.14613126340559854,-0.23968238074496143,0.5565762593398178,0.3707865168539326,0.02247191011235955
1,13,tail_rank,4,ae,83,83,36.105421686746986,35.46686746987952,0.6385542168674698,-13.494992469879518,14.42703313253012,0.3614457831325301,0.0
1,13,tail_rank,4,mase_52,83,83,5.479258828828471,4.362000725862409,1.117258102966061,0.4334631123429596,1.8161479763732362,0.3614457831325301,0.0
1,13,tail_rank,5,ae,54,54,50.50925925925926,37.851851851851855,12.657407407407412,-0.6617476851851841,26.9356674382716,0.48148148148148145,0.0
1,13,tail_rank,5,mase_52,54,54,4.975544407328248,4.3007649643818615,0.6747794429463855,-0.10966894206877437,1.4981008298242375,0.48148148148148145,0.0
1,13,tail_rank,6,ae,34,34,53.41544117647059,35.06617647058823,18.34926470588235,3.3420955882352943,35.004687499999996,0.38235294117647056,0.0
1,13,tail_rank,6,mase_52,34,34,4.411524100626232,3.1972525600375215,1.214271540588711,0.3051240076941107,2.263283260871158,0.38235294117647056,0.0
2,4,tail_rank,1,ae,67,67,1.6576731725985456,0.6716417910447762,0.9860313815537695,0.732266551856104,1.245584577114428,0.14925373134328357,0.014925373134328358
2,4,tail_rank,1,mase_52,67,67,1.6814643043742805,0.7470801008822477,0.9343842034920327,0.6360701268863234,1.2738622188429645,0.14925373134328357,0.014925373134328358
2,4,tail_rank,2,ae,70,70,1.2725274725274722,0.8857142857142857,0.3868131868131869,0.10458241758241762,0.6844560439560441,0.2714285714285714,0.0
2,4,tail_rank,2,mase_52,70,70,1.3057599371251312,0.8357507953792561,0.47000914174587505,0.2241094128854986,0.7306050751634456,0.2714285714285714,0.0
2,4,tail_rank,3,ae,69,69,1.2068004459308808,0.855072463768116,0.3517279821627648,0.07803093645484949,0.6064729654403569,0.3333333333333333,0.0
2,4,tail_rank,3,mase_52,69,69,1.6943921876990318,1.2525882965242232,0.4418038911748088,0.1382369373051133,0.8489627739263785,0.3333333333333333,0.0
2,4,tail_rank,4,ae,70,70,1.2967032967032968,0.8428571428571429,0.45384615384615373,0.16187728937728943,0.7429487179487179,0.2857142857142857,0.02857142857142857
2,4,tail_rank,4,mase_52,70,70,1.1902972481815288,0.8663589277548397,0.32393832042668913,0.051743706749576,0.625785791950766,0.2857142857142857,0.02857142857142857
2,4,tail_rank,5,ae,71,71,1.4707475622968582,1.2394366197183098,0.23131094257854826,-0.0965059588299025,0.5304035752979414,0.29577464788732394,0.014084507042253521
2,4,tail_rank,5,mase_52,70,70,1.3237511177331267,1.0554335689585728,0.2683175487745541,-0.02716063589695333,0.575957213383225,0.3,0.0
2,4,tail_rank,6,ae,69,69,1.3032329988851732,1.3333333333333333,-0.030100334448160532,-0.42382943143812707,0.35351170568561857,0.391304347826087,0.043478260869565216
2,4,tail_rank,6,mase_52,67,67,1.1647761054899115,1.1698946785878956,-0.005118573097984196,-0.45631127573767977,0.3756642475334234,0.40298507462686567,0.014925373134328358
2,9,tail_rank,1,ae,65,65,3.0292307692307694,2.1076923076923078,0.9215384615384616,0.22686538461538472,1.5631346153846155,0.3230769230769231,0.015384615384615385
2,9,tail_rank,1,mase_52,65,65,1.498469427212412,1.1506378007315834,0.3478316264808286,0.06593664111307004,0.6397050813937811,0.3230769230769231,0.015384615384615385
2,9,tail_rank,2,ae,66,66,2.6333333333333333,2.265151515151515,0.36818181818181817,-0.4788636363636364,1.126534090909091,0.4090909090909091,0.015151515151515152
2,9,tail_rank,2,mase_52,63,63,1.0901656492329257,0.9759636929104716,0.11420195632245365,-0.25829582404670853,0.4660234956771642,0.38095238095238093,0.015873015873015872
2,9,tail_rank,3,ae,67,67,2.401492537313433,3.3311567164179103,-0.9296641791044777,-2.085942164179105,0.2060867537313433,0.5223880597014925,0.0
2,9,tail_rank,3,mase_52,67,67,1.2618391838111385,1.5749346879254351,-0.3130955041142963,-0.8067816938945048,0.1614292701726897,0.5223880597014925,0.0
2,9,tail_rank,4,ae,63,63,3.450793650793651,3.2182539682539684,0.23253968253968268,-0.8786111111111111,1.2643055555555558,0.3333333333333333,0.015873015873015872
2,9,tail_rank,4,mase_52,63,63,3.2719517530427153,2.6846972173321135,0.5872545357106025,-0.07015083851838418,1.2638263660771767,0.3333333333333333,0.015873015873015872
2,9,tail_rank,5,ae,52,52,3.488461538461538,2.701923076923077,0.7865384615384616,-0.2801442307692308,1.7827403846153849,0.36538461538461536,0.019230769230769232
2,9,tail_rank,5,mase_52,52,52,2.8202170876442954,2.274987507645387,0.5452295799989091,-0.1374790507042806,1.2405145855328874,0.36538461538461536,0.019230769230769232
2,9,tail_rank,6,ae,42,42,3.4476190476190474,3.9107142857142856,-0.46309523809523834,-2.122886904761905,0.9755059523809521,0.47619047619047616,0.0
2,9,tail_rank,6,mase_52,42,42,2.9147733936968945,3.048087473408033,-0.13331407971113865,-1.0944294021804528,0.8025297946587335,0.47619047619047616,0.0
2,13,tail_rank,1,ae,71,71,3.630281690140845,3.334507042253521,0.29577464788732394,-0.8956866197183098,1.406073943661971,0.39436619718309857,0.0
2,13,tail_rank,1,mase_52,67,67,1.5879186898950455,1.3897706323109258,0.19814805758411985,-0.15601491246224178,0.6074851611334438,0.40298507462686567,0.0
2,13,tail_rank,2,ae,67,67,3.297574626865672,4.917910447761194,-1.6203358208955223,-3.154617537313433,-0.22152518656716463,0.5522388059701493,0.0
2,13,tail_rank,2,mase_52,67,67,1.094949690709455,1.470738803762049,-0.37578911305259427,-0.7600787738541799,-0.038231766630243455,0.5522388059701493,0.0
