sku,n,mean_delta,method,metric,cohort,horizon_weeks
FDBLHP0001,6,0.17948717948717963,BlockFrequencyMean,ae,active120,4
FDBLP0001,6,-7.15705128205128,BlockFrequencyMean,ae,active120,4
FRC0002,4,2.269230769230769,BlockFrequencyMean,ae,active120,4
FRC0003,6,-2.0641025641025643,BlockFrequencyMean,ae,active120,4
FRH0001,6,7.182051282051282,BlockFrequencyMean,ae,active120,4
FRH0002,6,5.461538461538461,BlockFrequencyMean,ae,active120,4
FRH0003,6,15.08974358974359,BlockFrequencyMean,ae,active120,4
FRH0004,6,3.1025641025641026,BlockFrequencyMean,ae,active120,4
FRH0033,6,1.7211538461538458,BlockFrequencyMean,ae,active120,4
FRH0034,6,2.6538461538461537,BlockFrequencyMean,ae,active120,4
FRH0040,6,4.025641025641026,BlockFrequencyMean,ae,active120,4
FRH0045,6,5.217948717948718,BlockFrequencyMean,ae,active120,4
FRH0046,6,2.525641025641025,BlockFrequencyMean,ae,active120,4
FRH0048,6,0.23076923076923203,BlockFrequencyMean,ae,active120,4
FRH0050,6,4.741758241758242,BlockFrequencyMean,ae,active120,4
FRH0051,6,1.4871794871794872,BlockFrequencyMean,ae,active120,4
FRH0056,6,1.4487179487179496,BlockFrequencyMean,ae,active120,4
FRH0059,6,-0.5512820512820512,BlockFrequencyMean,ae,active120,4
FRH0064,6,3.192307692307692,BlockFrequencyMean,ae,active120,4
FRH0065,6,-1.0427350427350428,BlockFrequencyMean,ae,active120,4
FRW0005,6,-1.7051282051282055,BlockFrequencyMean,ae,active120,4
FRW0006,6,12.41025641025641,BlockFrequencyMean,ae,active120,4
FRW0013,2,0.5000000000000001,BlockFrequencyMean,ae,active120,4
FRW0015,6,-4.474358974358977,BlockFrequencyMean,ae,active120,4
FRW0017,3,1.2820512820512822,BlockFrequencyMean,ae,active120,4
FRW0024,6,-2.358974358974359,BlockFrequencyMean,ae,active120,4
FZLRICBHP0001,6,-1.5128205128205128,BlockFrequencyMean,ae,active120,4
FZLRJ0001,6,-1.192307692307692,BlockFrequencyMean,ae,active120,4
FZLRJ0002,6,4.448717948717949,BlockFrequencyMean,ae,active120,4
FZLRJ0005,6,-0.5916666666666668,BlockFrequencyMean,ae,active120,4
GJMJSLW001,6,13.974358974358973,BlockFrequencyMean,ae,active120,4
