cohort,horizon_weeks,method,metric,n_pairs,n_skus,delta,ci_low,ci_high,pair_win_share,pair_tie_share,mean_model,median_model,bias_model,under_units_model,over_units_model,mase_lt1_model,mean_ma4,median_ma4,bias_ma4,under_units_ma4,over_units_ma4,mase_lt1_ma4
sparse77,4,LegacyPXQ,mase_52,228,42,0.02855749609758119,-0.037253898240737195,0.09259493481347779,0.18421052631578946,0.5657894736842105,1.4079420561560254,0.6666666666666666,0.04634932750143698,151.02913086913088,164.88757979206054,0.5964912280701754,1.3793845600584442,0.6315789473684211,-0.016722408026755852,153.0,148.0,0.618421052631579
sparse77,4,LegacyPXQ,mase_full,228,42,0.06984949754756167,-0.03695650986681131,0.17734217268768107,0.18421052631578946,0.5657894736842105,2.478448524685452,1.2361111111111112,0.04634932750143698,151.02913086913088,164.88757979206054,,2.4085990271378908,1.0185185185185186,-0.016722408026755852,153.0,148.0,
sparse77,4,LegacyPXQ,ae,231,42,0.05079382537509812,-0.0347930338620637,0.1462767165439106,0.18181818181818182,0.5714285714285714,1.4626985872798601,1.0,0.031904365446374296,155.02913086913088,164.88757979206054,,1.4119047619047618,1.0,-0.02912621359223301,157.0,148.0,
sparse77,4,Naive,mase_52,228,42,0.13474852126367465,-0.03869482756079455,0.33133613001038814,0.21929824561403508,0.5307017543859649,1.514133081322119,0.2863636363636364,-0.05016722408026756,184.0,169.0,0.6228070175438597,1.3793845600584442,0.6315789473684211,-0.016722408026755852,153.0,148.0,0.618421052631579
sparse77,4,Naive,mase_full,228,42,0.1545917192981244,-0.13171385349324408,0.40839971117855606,0.21929824561403508,0.5307017543859649,2.563190746436015,0.32867132867132864,-0.05016722408026756,184.0,169.0,,2.4085990271378908,1.0185185185185186,-0.016722408026755852,153.0,148.0,
sparse77,4,Naive,ae,252,42,0.21428571428571433,0.03164682539682539,0.4089285714285713,0.20238095238095238,0.5634920634920635,1.48015873015873,0.0,-0.08359133126934984,200.0,173.0,,1.265873015873016,1.0,-0.07120743034055728,171.0,148.0,
sparse77,9,BlockFrequencyMean,mase_52,245,73,0.30126204371756565,-0.01202398371457808,0.6731460186104011,0.46938775510204084,0.0163265306122449,2.1807175323913772,0.7999999999999999,0.005175038051750392,351.3,354.7,0.673469387755102,1.8794554886738115,0.6111111111111112,0.2320205479452055,304.75,457.1875,0.5795918367346938
sparse77,9,BlockFrequencyMean,mase_full,253,75,0.3102589642191588,-0.30923246372502067,1.135555378985932,0.45454545454545453,0.04743083003952569,4.220818922510078,1.2727272727272725,0.005175038051750378,351.3,354.7,,3.910559958290919,1.2941176470588236,0.2320205479452055,304.75,457.1875,
sparse77,9,BlockFrequencyMean,ae,290,77,0.18444264069264069,-0.2576765422077921,0.6114224837662338,0.4068965517241379,0.15862068965517243,2.782251082251082,1.8,-0.12253886010362694,454.3,359.7,,2.5978084415584415,1.75,0.07472474093264249,410.5,468.1875,
sparse77,9,LaplaceMean,mase_52,245,73,0.28889670165533643,-0.022602583151289303,0.652637963427724,0.4857142857142857,0.0,2.168352190329148,0.7428571428571427,-0.03290208016235418,354.11428571428576,332.497619047619,0.6122448979591837,1.8794554886738115,0.6111111111111112,0.2320205479452055,304.75,457.1875,0.5795918367346938
sparse77,9,LaplaceMean,mase_full,245,73,0.27825780231110925,-0.3183696568138776,1.0259210244324886,0.4857142857142857,0.0,4.2959563895963,1.2857142857142858,-0.03290208016235418,354.11428571428576,332.497619047619,,4.0176985872851905,1.35,0.2320205479452055,304.75,457.1875,
sparse77,9,LaplaceMean,ae,248,73,0.24638916068710587,-0.23663534871711253,0.769728405631659,0.4879032258064516,0.0,2.9325478364861928,2.017857142857143,-0.04047972304648866,362.44761904761907,335.1642857142857,,2.6861586757990867,1.875,0.23099035608308605,312.5,468.1875,
sparse77,9,LegacyPXQ,mase_52,245,73,0.11993613000725961,-0.0751336323070301,0.3445906765517298,0.3469387755102041,0.2979591836734694,1.999391618681071,0.75,0.19220828128017736,296.53883967339846,422.81968047447504,0.5469387755102041,1.8794554886738115,0.6111111111111112,0.2320205479452055,304.75,457.1875,0.5795918367346938
sparse77,9,LegacyPXQ,mase_full,253,75,0.11374871243166242,-0.25015995562049753,0.5799937305130756,0.3359683794466403,0.3201581027667984,4.024308670722582,1.5,0.1922082812801774,296.5388396733985,422.81968047447504,,3.910559958290919,1.2941176470588236,0.2320205479452055,304.75,457.1875,
sparse77,9,LegacyPXQ,ae,256,75,-0.043763058710247243,-0.39956438851383774,0.304553852910782,0.34375,0.31640625,2.5707647190675305,2.0,0.1873602979244459,301.5388396733985,427.81968047447504,,2.614527777777778,1.75,0.23099035608308605,312.5,468.1875,
sparse77,9,Naive,mase_52,245,73,0.08406412716169616,-0.5977483210570966,0.6935534245738777,0.22857142857142856,0.5224489795918368,1.9635196158355075,0.5714285714285714,0.1506849315068493,398.0,497.0,0.5918367346938775,1.8794554886738115,0.6111111111111112,0.2320205479452055,304.75,457.1875,0.5795918367346938
sparse77,9,Naive,mase_full,253,75,0.04714126091369593,-1.1534278742183375,1.193213978133541,0.22134387351778656,0.5375494071146245,3.957701219204615,1.3333333333333333,0.1506849315068493,398.0,497.0,,3.910559958290919,1.2941176470588236,0.2320205479452055,304.75,457.1875,
sparse77,9,Naive,ae,290,77,0.6770833333333333,0.21099161255411253,1.2371854707792207,0.19310344827586207,0.5862068965517241,3.274891774891775,2.0,0.03756476683937824,506.0,535.0,,2.5978084415584415,1.75,0.07472474093264249,410.5,468.1875,
sparse77,13,BlockFrequencyMean,mase_52,224,68,0.20942548884220316,-0.18102510026756516,0.6511804955990423,0.48660714285714285,0.008928571428571428,2.5875279266159588,0.75,-0.08720059880239521,496.0,423.1875,0.6205357142857143,2.3781024377737556,0.75,0.4751497005988024,386.25,783.0,0.5446428571428571
sparse77,13,BlockFrequencyMean,mase_full,224,68,0.15915918585622402,-0.4826485951852182,0.8893633140823043,0.48660714285714285,0.008928571428571428,4.115769591436546,1.1079545454545454,-0.08720059880239521,496.0,423.1875,,3.9566104055803226,1.3923076923076922,0.4751497005988024,386.25,783.0,
sparse77,13,BlockFrequencyMean,ae,317,77,-0.323728354978355,-0.9407568993506493,0.28311011904761896,0.3470031545741325,0.2870662460567823,4.360795454545454,2.5,-0.30240683229813664,776.0,435.1875,,4.684523809523809,2.0,0.11601597160603372,663.25,794.0,
