origin_index,origin,cluster,pool_profile,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank,median_mase_rank
2,2025-10-27,2,highly_intermittent,ADIDA2,64.0,64.0,4.002125762393622,1.2309101886745129,0.46875,0.7218507778501244,1.8626703988761768,1.1729930392773382,1.785447334585815,0.7504902024949165,207.0,5.0,4.0
2,2025-10-27,2,highly_intermittent,MA4_proxy,64.0,64.0,3.920979226739137,0.8159722222222223,0.515625,0.6953125,1.6880171036421039,1.0,1.7198067632850242,0.7004830917874396,207.0,4.0,2.0
2,2025-10-27,2,highly_intermittent,Naive,64.0,64.0,3.193749851477869,0.0,0.65625,0.548828125,1.5531079156079155,1.0,1.357487922705314,0.3526570048309179,207.0,1.0,1.0
2,2025-10-27,2,highly_intermittent,SBA,64.0,64.0,3.528659690890284,1.4621945148941629,0.421875,0.6074570970268824,1.4313347024295169,1.12506384009302,1.5025025781534487,0.25103418047476045,207.0,3.0,5.0
2,2025-10-27,2,highly_intermittent,SES,64.0,64.0,3.3794246093281646,0.8939759683828777,0.515625,0.5988464473479163,1.7742396179303794,1.0278215536042719,1.4812047393339765,0.4667311647164527,207.0,2.0,3.0
3,2025-12-22,1,active_moderate_intermittent,ADIDA2,52.0,52.0,4.071916410225998,2.523138139035163,0.19230769230769232,5.040234948288183,8.802629470031683,0.9801941673706315,1.1047090297617939,0.26447974398604224,1898.0,3.0,5.0
3,2025-12-22,1,active_moderate_intermittent,MA4_proxy,52.0,52.0,4.085478077028485,2.4826299536798766,0.17307692307692307,5.066105769230769,10.092461199258892,0.9846938775510203,1.1103793466807166,0.2992623814541623,1898.0,4.0,4.0
3,2025-12-22,1,active_moderate_intermittent,Naive,52.0,52.0,4.264425212999338,2.4725093984962405,0.21153846153846154,4.269230769230769,2.3787357848252086,1.0,0.9357218124341412,0.12118018967334036,1898.0,5.0,3.0
3,2025-12-22,1,active_moderate_intermittent,SBA,52.0,52.0,3.489289030794141,2.229317111065323,0.21153846153846154,3.8012501970183936,1.9745445582733596,0.9113392953763106,0.8331507281136206,-0.09337553518129968,1898.0,1.0,1.0
3,2025-12-22,1,active_moderate_intermittent,SES,52.0,52.0,4.0386530604880395,2.2863858603427474,0.21153846153846154,4.521388672838468,4.759228406736354,0.9946488206703941,0.9909892981563765,0.2561085801755,1898.0,2.0,2.0
3,2025-12-22,2,highly_intermittent,ADIDA2,39.0,39.0,5.238861082413933,3.477272727272727,0.05128205128205128,0.887296932970136,1.3372622240064302,1.00641226063964,1.1534860128611768,-0.35126348248525247,240.0,3.0,1.0
3,2025-12-22,2,highly_intermittent,MA4_proxy,39.0,39.0,5.163427353167195,3.7317073170731705,0.15384615384615385,0.875,1.3773916621572873,1.0,1.1375,-0.4,240.0,2.0,4.0
3,2025-12-22,2,highly_intermittent,Naive,39.0,39.0,5.435286535651376,3.477272727272727,0.23076923076923078,0.9166666666666666,2.03488005050505,1.0,1.1916666666666667,-0.36666666666666664,240.0,4.0,1.0
3,2025-12-22,2,highly_intermittent,SBA,39.0,39.0,4.698857211980201,3.731707317073171,0.02564102564102564,0.8657869113365367,1.3846979413889158,1.0310027829000004,1.1255229847374977,-0.4820941512986299,240.0,1.0,5.0
3,2025-12-22,2,highly_intermittent,SES,39.0,39.0,5.484398095286131,3.477272727272727,0.1282051282051282,0.9212377448925008,1.8829574388602142,1.0002803572939514,1.197609068360251,-0.2451270880167649,240.0,5.0,1.0
4,2026-02-16,1,active_moderate_intermittent,ADIDA2,53.0,53.0,3.726711430724605,2.104592160071044,0.22641509433962265,4.1496152864313745,4.027736692100871,0.9918123658283554,0.852440349538228,0.01310801196232987,2064.0,5.0,5.0
4,2026-02-16,1,active_moderate_intermittent,MA4_proxy,53.0,53.0,3.603226848897506,2.104591836734694,0.24528301886792453,4.121546495956873,3.370386193307256,1.0,0.8466742801771872,0.08432539682539682,2064.0,4.0,4.0
4,2026-02-16,1,active_moderate_intermittent,Naive,53.0,53.0,3.551531362660745,1.674222797927461,0.33962264150943394,4.278301886792453,1.4401538630539241,1.0,0.8788759689922481,0.14728682170542637,2064.0,3.0,2.0
4,2026-02-16,1,active_moderate_intermittent,SBA,53.0,53.0,3.1248862363567014,1.3221153846153846,0.32075471698113206,3.5251079928638913,2.0897277926060966,0.8855929315882125,0.724150091557311,-0.14916640645430482,2064.0,1.0,1.0
4,2026-02-16,1,active_moderate_intermittent,SES,53.0,53.0,3.512245990653216,1.7834905554260625,0.2641509433962264,4.116678681344161,1.5306303097814413,1.0,0.8456743027567462,0.14274600278057828,2064.0,2.0,3.0
4,2026-02-16,2,highly_intermittent,ADIDA2,43.0,43.0,5.056883023206007,3.825616616859836,0.06976744186046512,1.0756893389292554,1.9771685502163665,1.133777495787808,1.8409807591625067,0.28998068704342883,201.0,5.0,5.0
