origin_index,origin,sku,cluster,cluster_eligible,n_positive,ADI,CV2,nonzero_mean,acf1
1,2025-09-01,FRH0004,1,True,24,3.625,0.31975360846213563,3.4583333333333335,0.7490635227317536
1,2025-09-01,FRH0012,0,False,2,43.5,0.5000000000000001,2.0,-0.018957345971563993
1,2025-09-01,FRH0028,1,True,19,4.578947368421052,0.48717948717948717,2.0526315789473686,0.2649572649572653
1,2025-09-01,FRH0029,1,True,22,3.9545454545454546,0.4525218371372218,1.7727272727272727,0.3482053482053488
1,2025-09-01,FRH0031,2,True,7,12.428571428571429,0.08101851851851856,1.7142857142857142,0.01601830663615559
1,2025-09-01,FRH0033,1,True,70,1.2428571428571429,0.4154906289394972,6.207142857142857,0.3911754147988533
1,2025-09-01,FRH0034,1,True,45,1.9333333333333333,0.3368286760772048,2.611111111111111,0.31924934840059815
1,2025-09-01,FRH0035,2,True,13,6.6923076923076925,0.20106666666666664,1.9230769230769231,0.45709609539396556
1,2025-09-01,FRH0036,0,False,3,29.0,0.0,2.0,0.6546184738955854
1,2025-09-01,FRH0037,2,True,10,8.7,0.26955950032873105,1.3,0.4746487477092221
1,2025-09-01,FRH0040,1,True,16,5.4375,1.0016292936927857,3.9375,0.5400700590956481
1,2025-09-01,FRH0042,2,True,10,8.7,0.19097222222222227,1.6,0.5189328743545608
1,2025-09-01,FRH0043,2,True,6,14.5,0.37500000000000006,1.3333333333333333,0.26088626156826034
1,2025-09-01,FRH0044,2,True,16,5.4375,0.1322314049586777,1.375,0.16457131595610022
1,2025-09-01,FRH0045,1,True,12,7.25,0.3778409090909091,8.0,0.7518442314447739
1,2025-09-01,FRH0046,1,True,38,2.289473684210526,0.32763010944829113,1.4473684210526316,0.29252941329334065
1,2025-09-01,FRH0047,2,True,13,6.6923076923076925,0.19278911564625847,2.6923076923076925,0.4625645956014911
1,2025-09-01,FRH0048,1,True,57,1.5263157894736843,0.3151877125099841,6.12280701754386,0.5910649626213378
1,2025-09-01,FRH0049,2,True,6,14.5,0.5279999999999999,1.6666666666666667,0.12423625254582515
1,2025-09-01,FRH0050,1,True,38,2.289473684210526,0.34026933507902357,1.7894736842105263,0.06321520211196947
1,2025-09-01,FRH0051,1,True,57,1.5263157894736843,0.45471188871902307,4.578947368421052,0.6277164807069369
1,2025-09-01,FRH0052,0,False,3,29.0,0.0,1.0,-0.03614457831325313
1,2025-09-01,FRH0056,1,True,60,1.45,0.5859908152055003,8.066666666666666,0.6953230574365997
1,2025-09-01,FRH0056-1,0,False,0,inf,,,0.0
1,2025-09-01,FRH0058,0,False,2,43.5,0.04081632653061225,3.5,-0.02332222751070916
1,2025-09-01,FRH0059,1,True,38,2.289473684210526,0.725822788880493,6.473684210526316,0.8197908007758381
1,2025-09-01,FRH0064,0,False,3,29.0,0.5510204081632654,7.0,0.48625396442713076
1,2025-09-01,FRH0065,2,True,6,14.5,0.21606648199445988,3.1666666666666665,0.7604873803307224
1,2025-09-01,FRH0068,0,False,0,inf,,,0.0
1,2025-09-01,FRW00011,2,True,7,12.428571428571429,0.3033333333333334,1.4285714285714286,0.049723756906077374
1,2025-09-01,FRW0005,1,True,55,1.5818181818181818,0.3154241335095354,3.618181818181818,0.6549289305288944
1,2025-09-01,FRW0006,1,True,67,1.2985074626865671,0.4621811400170407,6.731343283582089,0.5576997850195395
1,2025-09-01,FRW0007,0,False,4,21.75,0.16000000000000003,1.25,0.10571923743500893
1,2025-09-01,FRW0008,0,False,3,29.0,0.0,1.0,-0.029335732442442905
